    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=24k)
     0      0      0      0   2.075768
     0      0      0      1   1.817024
     0      0      0      2   1.845377
     0      0      0      3   1.847351
     0      0      0      4   1.879422
     0      0      0      5   1.895715
     0      0      1      0   1.816935
     0      0      1      1   1.863255
     0      0      1      2   1.814197
     0      0      1      3   1.815877
     0      0      1      4   1.865476
     0      0      1      5   1.879322
     0      0      2      0   1.844854
     0      0      2      1   1.813773
     0      0      2      2   1.696182
     0      0      2      3   1.697753
     0      0      2      4   1.814762
     0      0      2      5   1.846671
     0      0      3      0   1.846874
     0      0      3      1   1.815512
     0      0      3      2   1.697745
     0      0      3      3   1.697851
     0      0      3      4   1.814617
     0      0      3      5   1.846333
     0      0      4      0   1.879425
     0      0      4      1   1.865631
     0      0      4      2   1.815191
     0      0      4      3   1.814991
     0      0      4      4   1.865269
     0      0      4      5   1.879130
     0      0      5      0   1.895770
     0      0      5      1   1.879561
     0      0      5      2   1.847185
     0      0      5      3   1.846828
     0      0      5      4   1.879305
     0      0      5      5   1.895399
     0      1      0      0   1.817024
     0      1      0      1   2.095943
     0      1      0      2   1.777985
     0      1      0      3   1.829615
     0      1      0      4   1.863088
     0      1      0      5   1.879436
     0      1      1      0   1.860636
     0      1      1      1   1.805966
     0      1      1      2   1.796746
     0      1      1      3   1.799144
     0      1      1      4   1.849344
     0      1      1      5   1.863122
     0      1      2      0   1.829872
     0      1      2      1   1.798187
     0      1      2      2   1.680551
     0      1      2      3   1.681397
     0      1      2      4   1.798518
     0      1      2      5   1.830317
     0      1      3      0   1.831133
     0      1      3      1   1.800627
     0      1      3      2   1.683537
     0      1      3      3   1.682914
     0      1      3      4   1.799086
     0      1      3      5   1.830154
     0      1      4      0   1.863290
     0      1      4      1   1.849820
     0      1      4      2   1.799677
     0      1      4      3   1.799319
     0      1      4      4   1.849351
     0      1      4      5   1.862870
     0      1      5      0   1.879562
     0      1      5      1   1.863534
     0      1      5      2   1.831301
     0      1      5      3   1.831101
     0      1      5      4   1.863376
     0      1      5      5   1.879318
     0      2      0      0   1.845377
     0      2      0      1   1.777985
     0      2      0      2   2.059477
     0      2      0      3   1.744284
     0      2      0      4   1.829571
     0      2      0      5   1.847323
     0      2      1      0   1.830308
     0      2      1      1   1.814417
     0      2      1      2   1.718056
     0      2      1      3   1.766253
     0      2      1      4   1.816979
     0      2      1      5   1.831406
     0      2      2      0   1.797941
     0      2      2      1   1.766127
     0      2      2      2   1.649189
     0      2      2      3   1.649628
     0      2      2      4   1.766522
     0      2      2      5   1.798531
     0      2      3      0   1.798542
     0      2      3      1   1.768789
     0      2      3      2   1.654300
     0      2      3      3   1.653297
     0      2      3      4   1.767794
     0      2      3      5   1.798431
     0      2      4      0   1.830762
     0      2      4      1   1.817624
     0      2      4      2   1.768092
     0      2      4      3   1.767569
     0      2      4      4   1.817098
     0      2      4      5   1.830435
     0      2      5      0   1.847186
     0      2      5      1   1.831301
     0      2      5      2   1.799361
     0      2      5      3   1.799024
     0      2      5      4   1.831063
     0      2      5      5   1.846801
     0      3      0      0   1.847351
     0      3      0      1   1.829615
     0      3      0      2   1.744284
     0      3      0      3   2.059437
     0      3      0      4   1.777871
     0      3      0      5   1.845283
     0      3      1      0   1.831545
     0      3      1      1   1.817102
     0      3      1      2   1.766278
     0      3      1      3   1.717976
     0      3      1      4   1.814232
     0      3      1      5   1.830104
     0      3      2      0   1.798507
     0      3      2      1   1.766505
     0      3      2      2   1.649592
     0      3      2      3   1.649163
     0      3      2      4   1.766077
     0      3      2      5   1.797902
     0      3      3      0   1.798417
     0      3      3      1   1.767783
     0      3      3      2   1.653262
     0      3      3      3   1.654285
     0      3      3      4   1.768743
     0      3      3      5   1.798493
     0      3      4      0   1.830571
     0      3      4      1   1.817221
     0      3      4      2   1.767593
     0      3      4      3   1.768006
     0      3      4      4   1.817437
     0      3      4      5   1.830560
     0      3      5      0   1.846829
     0      3      5      1   1.831101
     0      3      5      2   1.799024
     0      3      5      3   1.799294
     0      3      5      4   1.831196
     0      3      5      5   1.847097
     0      4      0      0   1.879422
     0      4      0      1   1.863088
     0      4      0      2   1.829571
     0      4      0      3   1.777871
     0      4      0      4   2.095850
     0      4      0      5   1.816876
     0      4      1      0   1.863220
     0      4      1      1   1.849426
     0      4      1      2   1.799126
     0      4      1      3   1.796615
     0      4      1      4   1.805751
     0      4      1      5   1.860394
     0      4      2      0   1.830248
     0      4      2      1   1.798457
     0      4      2      2   1.681317
     0      4      2      3   1.680488
     0      4      2      4   1.798086
     0      4      2      5   1.829784
     0      4      3      0   1.830095
     0      4      3      1   1.799031
     0      4      3      2   1.682839
     0      4      3      3   1.683479
     0      4      3      4   1.800542
     0      4      3      5   1.831051
     0      4      4      0   1.862965
     0      4      4      1   1.849433
     0      4      4      2   1.799302
     0      4      4      3   1.799552
     0      4      4      4   1.849589
     0      4      4      5   1.863041
     0      4      5      0   1.879303
     0      4      5      1   1.863373
     0      4      5      2   1.831060
     0      4      5      3   1.831193
     0      4      5      4   1.863384
     0      4      5      5   1.879425
     0      5      0      0   1.895715
     0      5      0      1   1.879436
     0      5      0      2   1.847323
     0      5      0      3   1.845283
     0      5      0      4   1.816876
     0      5      0      5   2.075681
     0      5      1      0   1.879435
     0      5      1      1   1.865572
     0      5      1      2   1.815874
     0      5      1      3   1.814078
     0      5      1      4   1.863037
     0      5      1      5   1.816705
     0      5      2      0   1.846617
     0      5      2      1   1.814715
     0      5      2      2   1.697687
     0      5      2      3   1.696131
     0      5      2      4   1.813701
     0      5      2      5   1.844757
     0      5      3      0   1.846290
     0      5      3      1   1.814576
     0      5      3      2   1.697788
     0      5      3      3   1.697701
     0      5      3      4   1.815445
     0      5      3      5   1.846834
     0      5      4      0   1.879239
     0      5      4      1   1.865362
     0      5      4      2   1.814982
     0      5      4      3   1.815076
     0      5      4      4   1.865411
     0      5      4      5   1.879188
     0      5      5      0   1.895396
     0      5      5      1   1.879314
     0      5      5      2   1.846797
     0      5      5      3   1.847093
     0      5      5      4   1.879425
     0      5      5      5   1.895649
     1      0      0      0   1.816935
     1      0      0      1   1.860636
     1      0      0      2   1.830308
     1      0      0      3   1.831545
     1      0      0      4   1.863220
     1      0      0      5   1.879435
     1      0      1      0   2.095800
     1      0      1      1   1.805890
     1      0      1      2   1.798545
     1      0      1      3   1.800920
     1      0      1      4   1.849601
     1      0      1      5   1.863221
     1      0      2      0   1.777478
     1      0      2      1   1.796258
     1      0      2      2   1.680488
     1      0      2      3   1.683486
     1      0      2      4   1.799189
     1      0      2      5   1.830714
     1      0      3      0   1.829033
     1      0      3      1   1.798744
     1      0      3      2   1.681326
     1      0      3      3   1.682848
     1      0      3      4   1.798878
     1      0      3      5   1.830539
     1      0      4      0   1.863075
     1      0      4      1   1.849438
     1      0      4      2   1.798877
     1      0      4      3   1.799376
     1      0      4      4   1.849273
     1      0      4      5   1.863130
     1      0      5      0   1.879422
     1      0      5      1   1.863286
     1      0      5      2   1.830759
     1      0      5      3   1.830568
     1      0      5      4   1.862964
     1      0      5      5   1.879239
     1      1      0      0   1.863255
     1      1      0      1   1.805966
     1      1      0      2   1.814417
     1      1      0      3   1.817102
     1      1      0      4   1.849426
     1      1      0      5   1.865572
     1      1      1      0   1.805890
     1      1      1      1   2.102818
     1      1      1      2   1.741837
     1      1      1      3   1.786049
     1      1      1      4   1.836054
     1      1      1      5   1.849585
     1      1      2      0   1.813915
     1      1      2      1   1.741581
     1      1      2      2   1.665408
     1      1      2      3   1.669056
     1      1      2      4   1.785653
     1      1      2      5   1.817116
     1      1      3      0   1.816639
     1      1      3      1   1.785675
     1      1      3      2   1.669090
     1      1      3      3   1.669346
