    X1     Y1     X2     Y2 <S(X1,Y1).S(X2,Y2)> (D=24k)
     0      0      0      0   0.682153
     0      0      0      1  -0.371754
     0      0      0      2   0.111633
     0      0      0      3  -0.064241
     0      0      0      4   0.024089
     0      0      0      5  -0.014687
     0      0      1      0  -0.371963
     0      0      1      1   0.154643
     0      0      1      2  -0.113370
     0      0      1      3   0.051061
     0      0      1      4  -0.025968
     0      0      1      5   0.010203
     0      0      2      0   0.111358
     0      0      2      1  -0.113097
     0      0      2      2   0.031865
     0      0      2      3  -0.023725
     0      0      2      4   0.009573
     0      0      2      5  -0.003088
     0      0      3      0  -0.063765
     0      0      3      1   0.050404
     0      0      3      2  -0.023458
     0      0      3      3  -0.010873
     0      0      3      4   0.001622
     0      0      3      5  -0.013874
     0      0      4      0   0.023057
     0      0      4      1  -0.024959
     0      0      4      2   0.009155
     0      0      4      3   0.001742
     0      0      4      4  -0.008951
     0      0      4      5   0.009450
     0      0      5      0  -0.013843
     0      0      5      1   0.009552
     0      0      5      2  -0.002486
     0      0      5      3  -0.013535
     0      0      5      4   0.009596
     0      0      5      5  -0.023519
     0      1      0      0  -0.371754
     0      1      0      1   0.662334
     0      1      0      2  -0.261845
     0      1      0      3   0.084257
     0      1      0      4  -0.039767
     0      1      0      5   0.024079
     0      1      1      0   0.155070
     0      1      1      1  -0.271486
     0      1      1      2   0.118068
     0      1      1      3  -0.078317
     0      1      1      4   0.039089
     0      1      1      5  -0.022418
     0      1      2      0  -0.110518
     0      1      2      1   0.092798
     0      1      2      2  -0.051044
     0      1      2      3   0.024043
     0      1      2      4  -0.023652
     0      1      2      5   0.010859
     0      1      3      0   0.050351
     0      1      3      1  -0.050289
     0      1      3      2   0.019335
     0      1      3      3  -0.003421
     0      1      3      4   0.007180
     0      1      3      5  -0.001581
     0      1      4      0  -0.021509
     0      1      4      1   0.022449
     0      1      4      2  -0.012216
     0      1      4      3   0.002380
     0      1      4      4  -0.001646
     0      1      4      5  -0.002786
     0      1      5      0   0.009554
     0      1      5      1  -0.009630
     0      1      5      2   0.000952
     0      1      5      3   0.005251
     0      1      5      4  -0.003779
     0      1      5      5   0.009609
     0      2      0      0   0.111633
     0      2      0      1  -0.261845
     0      2      0      2   0.651303
     0      2      0      3  -0.276241
     0      2      0      4   0.084240
     0      2      0      5  -0.064211
     0      2      1      0  -0.110810
     0      2      1      1   0.124296
     0      2      1      2  -0.273752
     0      2      1      3   0.113120
     0      2      1      4  -0.085718
     0      2      1      5   0.050914
     0      2      2      0   0.058647
     0      2      2      1  -0.078219
     0      2      2      2   0.049876
     0      2      2      3  -0.053434
     0      2      2      4   0.042317
     0      2      2      5  -0.038823
     0      2      3      0  -0.038500
     0      2      3      1   0.032768
     0      2      3      2  -0.013025
     0      2      3      3   0.000981
     0      2      3      4  -0.019070
     0      2      3      5   0.009192
     0      2      4      0   0.010343
     0      2      4      1  -0.013382
     0      2      4      2   0.002049
     0      2      4      3   0.001554
     0      2      4      4   0.001406
     0      2      4      5  -0.001401
     0      2      5      0  -0.002484
     0      2      5      1   0.000948
     0      2      5      2   0.007508
     0      2      5      3  -0.013821
     0      2      5      4   0.005318
     0      2      5      5  -0.013677
     0      3      0      0  -0.064241
     0      3      0      1   0.084257
     0      3      0      2  -0.276241
     0      3      0      3   0.651294
     0      3      0      4  -0.261852
     0      3      0      5   0.111615
     0      3      1      0   0.050959
     0      3      1      1  -0.085752
     0      3      1      2   0.113130
     0      3      1      3  -0.273676
     0      3      1      4   0.124231
     0      3      1      5  -0.110762
     0      3      2      0  -0.038827
     0      3      2      1   0.042347
     0      3      2      2  -0.053430
     0      3      2      3   0.049830
     0      3      2      4  -0.078170
     0      3      2      5   0.058575
     0      3      3      0   0.009153
     0      3      3      1  -0.019099
     0      3      3      2   0.000971
     0      3      3      3  -0.013003
     0      3      3      4   0.032733
     0      3      3      5  -0.038355
     0      3      4      0  -0.001343
     0      3      4      1   0.001358
     0      3      4      2   0.001553
     0      3      4      3   0.002049
     0      3      4      4  -0.013524
     0      3      4      5   0.010466
     0      3      5      0  -0.013537
     0      3      5      1   0.005253
     0      3      5      2  -0.013822
     0      3      5      3   0.007503
     0      3      5      4   0.000915
     0      3      5      5  -0.002557
     0      4      0      0   0.024089
     0      4      0      1  -0.039767
     0      4      0      2   0.084240
     0      4      0      3  -0.261852
     0      4      0      4   0.662312
     0      4      0      5  -0.371800
     0      4      1      0  -0.022438
     0      4      1      1   0.039098
     0      4      1      2  -0.078307
     0      4      1      3   0.118018
     0      4      1      4  -0.271307
     0      4      1      5   0.155007
     0      4      2      0   0.010847
     0      4      2      1  -0.023640
     0      4      2      2   0.024019
     0      4      2      3  -0.050970
     0      4      2      4   0.092630
     0      4      2      5  -0.110402
     0      4      3      0  -0.001566
     0      4      3      1   0.007144
     0      4      3      2  -0.003426
     0      4      3      3   0.019327
     0      4      3      4  -0.049996
     0      4      3      5   0.050110
     0      4      4      0  -0.002855
     0      4      4      1  -0.001567
     0      4      4      2   0.002339
     0      4      4      3  -0.012138
     0      4      4      4   0.022525
     0      4      4      5  -0.021663
     0      4      5      0   0.009599
     0      4      5      1  -0.003784
     0      4      5      2   0.005319
     0      4      5      3   0.000914
     0      4      5      4  -0.009596
     0      4      5      5   0.009539
     0      5      0      0  -0.014687
     0      5      0      1   0.024079
     0      5      0      2  -0.064211
     0      5      0      3   0.111615
     0      5      0      4  -0.371800
     0      5      0      5   0.682138
     0      5      1      0   0.010216
     0      5      1      1  -0.025959
     0      5      1      2   0.051039
     0      5      1      3  -0.113324
     0      5      1      4   0.154559
     0      5      1      5  -0.371810
     0      5      2      0  -0.003048
     0      5      2      1   0.009560
     0      5      2      2  -0.023695
     0      5      2      3   0.031806
     0      5      2      4  -0.112944
     0      5      2      5   0.111059
     0      5      3      0  -0.013953
     0      5      3      1   0.001676
     0      5      3      2  -0.010901
     0      5      3      3  -0.023398
     0      5      3      4   0.050287
     0      5      3      5  -0.063197
     0      5      4      0   0.009494
     0      5      4      1  -0.009080
     0      5      4      2   0.001757
     0      5      4      3   0.009126
     0      5      4      4  -0.025106
     0      5      4      5   0.023320
     0      5      5      0  -0.023515
     0      5      5      1   0.009610
     0      5      5      2  -0.013675
     0      5      5      3  -0.002558
     0      5      5      4   0.009539
     0      5      5      5  -0.014021
     1      0      0      0  -0.371963
     1      0      0      1   0.155070
     1      0      0      2  -0.110810
     1      0      0      3   0.050959
     1      0      0      4  -0.022438
     1      0      0      5   0.010216
     1      0      1      0   0.662335
     1      0      1      1  -0.271626
     1      0      1      2   0.093136
     1      0      1      3  -0.050855
     1      0      1      4   0.023337
     1      0      1      5  -0.010334
     1      0      2      0  -0.261289
     1      0      2      1   0.117867
     1      0      2      2  -0.051181
     1      0      2      3   0.019703
     1      0      2      4  -0.012682
     1      0      2      5   0.001229
     1      0      3      0   0.083358
     1      0      3      1  -0.077413
     1      0      3      2   0.023869
     1      0      3      3  -0.003589
     1      0      3      4   0.002485
     1      0      3      5   0.005176
     1      0      4      0  -0.038328
     1      0      4      1   0.038057
     1      0      4      2  -0.022984
     1      0      4      3   0.007029
     1      0      4      4  -0.001770
     1      0      4      5  -0.003749
     1      0      5      0   0.023052
     1      0      5      1  -0.021501
     1      0      5      2   0.010338
     1      0      5      3  -0.001341
     1      0      5      4  -0.002856
     1      0      5      5   0.009494
     1      1      0      0   0.154643
     1      1      0      1  -0.271486
     1      1      0      2   0.124296
     1      1      0      3  -0.085752
     1      1      0      4   0.039098
     1      1      0      5  -0.025959
     1      1      1      0  -0.271626
     1      1      1      1   0.649255
     1      1      1      2  -0.230626
     1      1      1      3   0.074731
     1      1      1      4  -0.043595
     1      1      1      5   0.023320
     1      1      2      0   0.124100
     1      1      2      1  -0.229805
     1      1      2      2   0.069737
     1      1      2      3  -0.041965
     1      1      2      4   0.025501
     1      1      2      5  -0.013969
     1      1      3      0  -0.084948
     1      1      3      1   0.073816
     1      1      3      2  -0.041371
     1      1      3      3   0.008327
     1      1      3      4  -0.013599
     1      1      3      5   0.001590
     1      1      4      0   0.038059
     1      1      4      1  -0.042517
     1      1      4      2   0.024920
     1      1      4      3  -0.013257
     1      1      4      4   0.006029
     1      1      4      5  -0.001758
     1      1      5      0  -0.024958
     1      1      5      1   0.022444
     1      1      5      2  -0.013379
     1      1      5      3   0.001355
     1      1      5      4  -0.001571
     1      1      5      5  -0.009080
     1      2      0      0  -0.113370
     1      2      0      1   0.118068
     1      2      0      2  -0.273752
     1      2      0      3   0.113130
     1      2      0      4  -0.078307
     1      2      0      5   0.051039
     1      2      1      0   0.093136
     1      2      1      1  -0.230626
     1      2      1      2   0.630029
     1      2      1      3  -0.199600
     1      2      1      4   0.074703
     1      2      1      5  -0.050821
     1      2      2      0  -0.078396
     1      2      2      1   0.091359
     1      2      2      2  -0.179196
     1      2      2      3   0.061120
     1      2      2      4  -0.055567
     1      2      2      5   0.033194
     1      2      3      0   0.042102
     1      2      3      1  -0.055004
     1      2      3      2   0.032596
     1      2      3      3  -0.025232
     1      2      3      4   0.024788
     1      2      3      5  -0.019290
     1      2      4      0  -0.022984
     1      2      4      1   0.024920
     1      2      4      2  -0.016691
     1      2      4      3   0.010276
     1      2      4      4  -0.013349
     1      2      4      5   0.007085
     1      2      5      0   0.009149
     1      2      5      1  -0.012210
     1      2      5      2   0.002045
     1      2      5      3   0.001558
     1      2      5      4   0.002342
     1      2      5      5   0.001755
     1      3      0      0   0.051061
     1      3      0      1  -0.078317
     1      3      0      2   0.113120
     1      3      0      3  -0.273676
     1      3      0      4   0.118018
     1      3      0      5  -0.113324
     1      3      1      0  -0.050855
     1      3      1      1   0.074731
     1      3      1      2  -0.199600
     1      3      1      3   0.630012
     1      3      1      4  -0.230590
     1      3      1      5   0.093066
     1      3      2      0   0.033206
     1      3      2      1  -0.055581
     1      3      2      2   0.061124
     1      3      2      3  -0.179132
     1      3      2      4   0.091302
     1      3      2      5  -0.078341
     1      3      3      0  -0.019265
     1      3      3      1   0.024761
     1      3      3      2  -0.025278
     1      3      3      3   0.032648
     1      3      3      4  -0.055005
     1      3      3      5   0.042097
     1      3      4      0   0.007027
     1      3      4      1  -0.013253
     1      3      4      2   0.010273
     1      3      4      3  -0.016740
     1      3      4      4   0.025011
     1      3      4      5  -0.023223
     1      3      5      0   0.001748
     1      3      5      1   0.002374
     1      3      5      2   0.001559
     1      3      5      3   0.002048
     1      3      5      4  -0.012136
     1      3      5      5   0.009130
     1      4      0      0  -0.025968
     1      4      0      1   0.039089
     1      4      0      2  -0.085718
     1      4      0      3   0.124231
     1      4      0      4  -0.271307
     1      4      0      5   0.154559
     1      4      1      0   0.023337
     1      4      1      1  -0.043595
     1      4      1      2   0.074703
     1      4      1      3  -0.230590
     1      4      1      4   0.649206
     1      4      1      5  -0.271597
     1      4      2      0  -0.013949
     1      4      2      1   0.025491
     1      4      2      2  -0.041937
     1      4      2      3   0.069688
     1      4      2      4  -0.229569
     1      4      2      5   0.123975
     1      4      3      0   0.001561
     1      4      3      1  -0.013595
     1      4      3      2   0.008311
     1      4      3      3  -0.041481
     1      4      3      4   0.073954
     1      4      3      5  -0.084913
     1      4      4      0  -0.001767
     1      4      4      1   0.006024
     1      4      4      2  -0.013340
     1      4      4      3   0.025006
     1      4      4      4  -0.042918
     1      4      4      5   0.038396
     1      4      5      0  -0.008955
     1      4      5      1  -0.001639
     1      4      5      2   0.001399
     1      4      5      3  -0.013516
     1      4      5      4   0.022515
     1      4      5      5  -0.025092
     1      5      0      0   0.010203
     1      5      0      1  -0.022418
     1      5      0      2   0.050914
     1      5      0      3  -0.110762
     1      5      0      4   0.155007
     1      5      0      5  -0.371810
     1      5      1      0  -0.010334
     1      5      1      1   0.023320
     1      5      1      2  -0.050821
     1      5      1      3   0.093066
     1      5      1      4  -0.271597
     1      5      1      5   0.662302
     1      5      2      0   0.001199
     1      5      2      1  -0.012651
     1      5      2      2   0.019663
     1      5      2      3  -0.051139
     1      5      2      4   0.117789
     1      5      2      5  -0.260764
     1      5      3      0   0.005229
     1      5      3      1   0.002432
     1      5      3      2  -0.003541
     1      5      3      3   0.023847
     1      5      3      4  -0.077639
     1      5      3      5   0.083505
     1      5      4      0  -0.003749
     1      5      4      1  -0.001754
     1      5      4      2   0.007080
     1      5      4      3  -0.023210
     1      5      4      4   0.038391
     1      5      4      5  -0.039153
     1      5      5      0   0.009453
     1      5      5      1  -0.002788
     1      5      5      2  -0.001391
     1      5      5      3   0.010459
     1      5      5      4  -0.021647
     1      5      5      5   0.023311
     2      0      0      0   0.111358
     2      0      0      1  -0.110518
     2      0      0      2   0.058647
     2      0      0      3  -0.038827
     2      0      0      4   0.010847
     2      0      0      5  -0.003048
     2      0      1      0  -0.261289
     2      0      1      1   0.124100
     2      0      1      2  -0.078396
     2      0      1      3   0.033206
     2      0      1      4  -0.013949
     2      0      1      5   0.001199
     2      0      2      0   0.651236
     2      0      2      1  -0.274289
     2      0      2      2   0.050113
     2      0      2      3  -0.013268
     2      0      2      4   0.002186
     2      0      2      5   0.007624
     2      0      3      0  -0.274306
     2      0      3      1   0.112724
     2      0      3      2  -0.053611
     2      0      3      3   0.001134
     2      0      3      4   0.001602
     2      0      3      5  -0.014229
     2      0      4      0   0.083361
     2      0      4      1  -0.084953
     2      0      4      2   0.042101
     2      0      4      3  -0.019264
     2      0      4      4   0.001560
     2      0      4      5   0.005230
     2      0      5      0  -0.063758
     2      0      5      1   0.050345
     2      0      5      2  -0.038497
     2      0      5      3   0.009151
     2      0      5      4  -0.001566
     2      0      5      5  -0.013954
     2      1      0      0  -0.113097
     2      1      0      1   0.092798
     2      1      0      2  -0.078219
     2      1      0      3   0.042347
     2      1      0      4  -0.023640
     2      1      0      5   0.009560
     2      1      1      0   0.117867
     2      1      1      1  -0.229805
     2      1      1      2   0.091359
     2      1      1      3  -0.055581
     2      1      1      4   0.025491
     2      1      1      5  -0.012651
     2      1      2      0  -0.274289
     2      1      2      1   0.629931
     2      1      2      2  -0.180225
