    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=32k)
     0      0      0      0   2.030559
     0      0      0      1   1.687158
     0      0      0      2   1.656360
     0      0      0      3   1.612573
     0      0      0      4   1.611798
     0      0      0      5   1.660094
     0      0      0      6   1.752362
     0      0      0      7   1.820795
     0      0      1      0   1.743782
     0      0      1      1   1.710103
     0      0      1      2   1.604712
     0      0      1      3   1.534223
     0      0      1      4   1.533545
     0      0      1      5   1.603899
     0      0      1      6   1.708960
     0      0      1      7   1.802821
     0      0      2      0   1.783363
     0      0      2      1   1.694814
     0      0      2      2   1.582716
     0      0      2      3   1.528129
     0      0      2      4   1.527675
     0      0      2      5   1.581123
     0      0      2      6   1.692997
     0      0      2      7   1.785175
     0      0      3      0   1.785714
     0      0      3      1   1.689104
     0      0      3      2   1.591127
     0      0      3      3   1.534208
     0      0      3      4   1.532956
     0      0      3      5   1.589016
     0      0      3      6   1.687255
     0      0      3      7   1.784004
     0      0      4      0   1.785705
     0      0      4      1   1.689318
     0      0      4      2   1.591643
     0      0      4      3   1.534701
     0      0      4      4   1.534150
     0      0      4      5   1.590158
     0      0      4      6   1.688073
     0      0      4      7   1.784647
     0      0      5      0   1.785797
     0      0      5      1   1.696179
     0      0      5      2   1.583687
     0      0      5      3   1.530213
     0      0      5      4   1.530561
     0      0      5      5   1.583898
     0      0      5      6   1.695026
     0      0      5      7   1.786128
     0      0      6      0   1.805943
     0      0      6      1   1.713042
     0      0      6      2   1.607669
     0      0      6      3   1.537665
     0      0      6      4   1.537242
     0      0      6      5   1.607470
     0      0      6      6   1.711617
     0      0      6      7   1.804228
     0      0      7      0   1.820487
     0      0      7      1   1.753189
     0      0      7      2   1.661843
     0      0      7      3   1.615974
     0      0      7      4   1.615209
     0      0      7      5   1.663109
     0      0      7      6   1.754515
     0      0      7      7   1.821971
     0      1      0      0   1.687158
     0      1      0      1   1.992091
     0      1      0      2   1.533118
     0      1      0      3   1.545757
     0      1      0      4   1.548421
     0      1      0      5   1.595892
     0      1      0      6   1.685783
     0      1      0      7   1.752528
     0      1      1      0   1.735116
     0      1      1      1   1.606589
     0      1      1      2   1.542772
     0      1      1      3   1.473391
     0      1      1      4   1.472655
     0      1      1      5   1.541319
     0      1      1      6   1.643545
     0      1      1      7   1.735025
     0      1      2      0   1.717834
     0      1      2      1   1.631549
     0      1      2      2   1.523206
     0      1      2      3   1.471161
     0      1      2      4   1.469120
     0      1      2      5   1.519955
     0      1      2      6   1.628345
     0      1      2      7   1.718021
     0      1      3      0   1.719379
     0      1      3      1   1.626581
     0      1      3      2   1.532166
     0      1      3      3   1.477358
     0      1      3      4   1.476335
     0      1      3      5   1.529199
     0      1      3      6   1.623552
     0      1      3      7   1.717170
     0      1      4      0   1.719585
     0      1      4      1   1.626731
     0      1      4      2   1.532781
     0      1      4      3   1.477990
     0      1      4      4   1.477524
     0      1      4      5   1.531531
     0      1      4      6   1.625208
     0      1      4      7   1.718166
     0      1      5      0   1.719753
     0      1      5      1   1.633464
     0      1      5      2   1.525129
     0      1      5      3   1.473716
     0      1      5      4   1.474082
     0      1      5      5   1.525463
     0      1      5      6   1.632462
     0      1      5      7   1.719938
     0      1      6      0   1.739226
     0      1      6      1   1.649753
     0      1      6      2   1.548289
     0      1      6      3   1.480882
     0      1      6      4   1.480502
     0      1      6      5   1.548145
     0      1      6      6   1.648427
     0      1      6      7   1.737579
     0      1      7      0   1.753245
     0      1      7      1   1.688440
     0      1      7      2   1.600478
     0      1      7      3   1.556309
     0      1      7      4   1.555566
     0      1      7      5   1.601721
     0      1      7      6   1.689729
     0      1      7      7   1.754697
     0      2      0      0   1.656360
     0      2      0      1   1.533118
     0      2      0      2   1.885696
     0      2      0      3   1.394165
     0      2      0      4   1.458158
     0      2      0      5   1.508731
     0      2      0      6   1.595789
     0      2      0      7   1.660166
     0      2      1      0   1.643872
     0      2      1      1   1.557289
     0      2      1      2   1.415014
     0      2      1      3   1.394359
     0      2      1      4   1.390762
     0      2      1      5   1.456361
