     X      Y hole density (D=16k)
     0      0   0.010708
     0      1   0.012076
     0      2   0.012076
     0      3   0.010707
     1      0   0.020273
     1      1   0.022774
     1      2   0.022773
     1      3   0.020271
     2      0   0.038904
     2      1   0.044207
     2      2   0.044209
     2      3   0.038904
     3      0   0.058712
     3      1   0.067072
     3      2   0.067073
     3      3   0.058723
     4      0   0.072318
     4      1   0.083265
     4      2   0.083260
     4      3   0.072301
     5      0   0.083852
     5      1   0.099320
     5      2   0.099332
     5      3   0.083892
     6      0   0.085666
     6      1   0.105654
     6      2   0.105643
     6      3   0.085633
     7      0   0.086371
     7      1   0.108416
     7      2   0.108425
     7      3   0.086399
     8      0   0.086393
     8      1   0.108436
     8      2   0.108438
     8      3   0.086397
     9      0   0.085685
     9      1   0.105698
     9      2   0.105693
     9      3   0.085672
    10      0   0.083906
    10      1   0.099395
    10      2   0.099403
    10      3   0.083934
    11      0   0.072378
    11      1   0.083357
    11      2   0.083353
    11      3   0.072368
    12      0   0.058781
    12      1   0.067165
    12      2   0.067166
    12      3   0.058790
    13      0   0.038960
    13      1   0.044281
    13      2   0.044282
    13      3   0.038960
    14      0   0.020308
    14      1   0.022819
    14      2   0.022818
    14      3   0.020306
    15      0   0.010727
    15      1   0.012099
    15      2   0.012099
    15      3   0.010725
