     X      Y hole density (D=16k)
     0      0   0.003525
     0      1   0.003628
     0      2   0.003628
     0      3   0.003525
     1      0   0.007074
     1      1   0.006957
     1      2   0.006957
     1      3   0.007073
     2      0   0.015011
     2      1   0.014868
     2      2   0.014868
     2      3   0.015011
     3      0   0.025111
     3      1   0.024393
     3      2   0.024393
     3      3   0.025112
     4      0   0.036132
     4      1   0.034458
     4      2   0.034457
     4      3   0.036130
     5      0   0.048942
     5      1   0.046182
     5      2   0.046182
     5      3   0.048943
     6      0   0.057333
     6      1   0.053828
     6      2   0.053828
     6      3   0.057332
     7      0   0.063247
     7      1   0.059297
     7      2   0.059298
     7      3   0.063248
     8      0   0.063248
     8      1   0.059298
     8      2   0.059298
     8      3   0.063248
     9      0   0.057334
     9      1   0.053829
     9      2   0.053829
     9      3   0.057334
    10      0   0.048944
    10      1   0.046184
    10      2   0.046184
    10      3   0.048945
    11      0   0.036134
    11      1   0.034461
    11      2   0.034460
    11      3   0.036133
    12      0   0.025114
    12      1   0.024396
    12      2   0.024396
    12      3   0.025115
    13      0   0.015014
    13      1   0.014870
    13      2   0.014870
    13      3   0.015013
    14      0   0.007075
    14      1   0.006959
    14      2   0.006959
    14      3   0.007075
    15      0   0.003526
    15      1   0.003629
    15      2   0.003629
    15      3   0.003526
