    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=32k)
     0      0      0      0   2.129809
     0      0      0      1   1.922273
     0      0      0      2   1.983444
     0      0      0      3   1.985706
     0      0      1      0   1.915984
     0      0      1      1   1.975098
     0      0      1      2   1.978137
     0      0      1      3   1.978756
     0      0      2      0   1.960775
     0      0      2      1   1.962346
     0      0      2      2   1.963108
     0      0      2      3   1.962984
     0      0      3      0   1.942759
     0      0      3      1   1.944268
     0      0      3      2   1.944264
     0      0      3      3   1.942895
     0      0      4      0   1.920909
     0      0      4      1   1.924184
     0      0      4      2   1.924175
     0      0      4      3   1.920845
     0      0      5      0   1.895418
     0      0      5      1   1.900828
     0      0      5      2   1.900846
     0      0      5      3   1.895301
     0      0      6      0   1.878624
     0      0      6      1   1.885528
     0      0      6      2   1.885546
     0      0      6      3   1.878530
     0      0      7      0   1.866791
     0      0      7      1   1.874581
     0      0      7      2   1.874602
     0      0      7      3   1.866720
     0      0      8      0   1.866727
     0      0      8      1   1.874551
     0      0      8      2   1.874563
     0      0      8      3   1.866719
     0      0      9      0   1.878450
     0      0      9      1   1.885402
     0      0      9      2   1.885404
     0      0      9      3   1.878461
     0      0     10      0   1.895146
     0      0     10      1   1.900637
     0      0     10      2   1.900635
     0      0     10      3   1.895178
     0      0     11      0   1.920672
     0      0     11      1   1.924000
     0      0     11      2   1.923998
     0      0     11      3   1.920696
     0      0     12      0   1.942662
     0      0     12      1   1.944088
     0      0     12      2   1.944086
     0      0     12      3   1.942678
     0      0     13      0   1.962849
     0      0     13      1   1.963127
     0      0     13      2   1.963126
     0      0     13      3   1.962853
     0      0     14      0   1.978733
     0      0     14      1   1.978961
     0      0     14      2   1.978961
     0      0     14      3   1.978734
     0      0     15      0   1.985847
     0      0     15      1   1.985637
     0      0     15      2   1.985638
     0      0     15      3   1.985846
     0      1      0      0   1.922273
     0      1      0      1   2.169383
     0      1      0      2   1.931891
     0      1      0      3   1.983444
     0      1      1      0   1.974508
     0      1      1      1   1.933017
     0      1      1      2   1.975142
     0      1      1      3   1.977749
     0      1      2      0   1.961880
     0      1      2      1   1.961709
     0      1      2      2   1.962508
     0      1      2      3   1.962642
     0      1      3      0   1.942646
     0      1      3      1   1.944136
     0      1      3      2   1.944102
     0      1      3      3   1.942665
     0      1      4      0   1.920669
     0      1      4      1   1.924016
     0      1      4      2   1.924004
     0      1      4      3   1.920670
     0      1      5      0   1.895147
     0      1      5      1   1.900637
     0      1      5      2   1.900643
     0      1      5      3   1.895161
     0      1      6      0   1.878365
     0      1      6      1   1.885317
     0      1      6      2   1.885320
     0      1      6      3   1.878376
     0      1      7      0   1.866542
     0      1      7      1   1.874367
     0      1      7      2   1.874375
     0      1      7      3   1.866550
     0      1      8      0   1.866507
     0      1      8      1   1.874337
     0      1      8      2   1.874345
