     X      Y hole density (D=32k)
     0      0   0.003540
     0      1   0.003644
     0      2   0.003644
     0      3   0.003539
     1      0   0.007097
     1      1   0.006983
     1      2   0.006983
     1      3   0.007097
     2      0   0.015043
     2      1   0.014905
     2      2   0.014905
     2      3   0.015043
     3      0   0.025140
     3      1   0.024431
     3      2   0.024430
     3      3   0.025140
     4      0   0.036140
     4      1   0.034481
     4      2   0.034480
     4      3   0.036139
     5      0   0.048917
     5      1   0.046177
     5      2   0.046177
     5      3   0.048917
     6      0   0.057279
     6      1   0.053802
     6      2   0.053802
     6      3   0.057279
     7      0   0.063171
     7      1   0.059252
     7      2   0.059253
     7      3   0.063171
     8      0   0.063171
     8      1   0.059252
     8      2   0.059252
     8      3   0.063171
     9      0   0.057279
     9      1   0.053802
     9      2   0.053802
     9      3   0.057279
    10      0   0.048916
    10      1   0.046177
    10      2   0.046177
    10      3   0.048917
    11      0   0.036140
    11      1   0.034481
    11      2   0.034480
    11      3   0.036139
    12      0   0.025139
    12      1   0.024430
    12      2   0.024430
    12      3   0.025140
    13      0   0.015043
    13      1   0.014905
    13      2   0.014905
    13      3   0.015043
    14      0   0.007097
    14      1   0.006983
    14      2   0.006983
    14      3   0.007097
    15      0   0.003540
    15      1   0.003644
    15      2   0.003644
    15      3   0.003539
