    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=24k)
     0      0      0      0   1.999596
     0      0      0      1   1.656256
     0      0      0      2   1.659776
     0      0      0      3   1.662679
     0      0      0      4   1.719859
     0      0      0      5   1.766281
     0      0      1      0   1.655593
     0      0      1      1   1.669683
     0      0      1      2   1.619460
     0      0      1      3   1.619817
     0      0      1      4   1.669840
     0      0      1      5   1.718931
     0      0      2      0   1.656675
     0      0      2      1   1.616841
     0      0      2      2   1.583419
     0      0      2      3   1.582919
     0      0      2      4   1.617158
     0      0      2      5   1.660835
     0      0      3      0   1.659822
     0      0      3      1   1.617572
     0      0      3      2   1.583038
     0      0      3      3   1.582682
     0      0      3      4   1.616854
     0      0      3      5   1.660563
     0      0      4      0   1.719559
     0      0      4      1   1.670801
     0      0      4      2   1.620000
     0      0      4      3   1.619347
     0      0      4      4   1.669061
     0      0      4      5   1.718503
     0      0      5      0   1.766561
     0      0      5      1   1.720711
     0      0      5      2   1.663819
     0      0      5      3   1.663444
     0      0      5      4   1.719905
     0      0      5      5   1.765869
     0      1      0      0   1.656256
     0      1      0      1   1.984679
     0      1      0      2   1.557822
     0      1      0      3   1.615053
     0      1      0      4   1.674042
     0      1      0      5   1.719973
     0      1      1      0   1.672015
     0      1      1      1   1.585619
     0      1      1      2   1.576045
     0      1      1      3   1.575575
     0      1      1      4   1.624954
     0      1      1      5   1.673334
     0      1      2      0   1.613291
     0      1      2      1   1.574345
     0      1      2      2   1.541278
     0      1      2      3   1.540927
     0      1      2      4   1.573271
     0      1      2      5   1.615764
     0      1      3      0   1.615451
     0      1      3      1   1.575757
     0      1      3      2   1.541953
     0      1      3      3   1.540904
     0      1      3      4   1.573744
     0      1      3      5   1.615629
     0      1      4      0   1.674421
     0      1      4      1   1.627281
     0      1      4      2   1.578318
     0      1      4      3   1.577373
     0      1      4      4   1.625230
     0      1      4      5   1.672788
     0      1      5      0   1.720729
     0      1      5      1   1.676266
     0      1      5      2   1.621081
     0      1      5      3   1.621043
     0      1      5      4   1.675700
     0      1      5      5   1.720020
     0      2      0      0   1.659776
     0      2      0      1   1.557822
     0      2      0      2   1.917489
     0      2      0      3   1.499177
     0      2      0      4   1.614804
     0      2      0      5   1.662541
     0      2      1      0   1.615583
     0      2      1      1   1.570610
     0      2      1      2   1.477732
     0      2      1      3   1.523292
     0      2      1      4   1.569480
     0      2      1      5   1.616651
     0      2      2      0   1.559277
