    X1     Y1     X2     Y2 <S(X1,Y1).S(X2,Y2)> (D=24k)
     0      0      0      0   0.660473
     0      0      0      1  -0.332090
     0      0      0      2   0.077645
     0      0      0      3  -0.033003
     0      0      0      4   0.006938
     0      0      0      5   0.002250
     0      0      1      0  -0.331831
     0      0      1      1   0.110151
     0      0      1      2  -0.085207
     0      0      1      3   0.018983
     0      0      1      4  -0.000650
     0      0      1      5  -0.007467
     0      0      2      0   0.075895
     0      0      2      1  -0.083244
     0      0      2      2   0.024397
     0      0      2      3  -0.011327
     0      0      2      4  -0.017741
     0      0      2      5   0.019406
     0      0      3      0  -0.031254
     0      0      3      1   0.016557
     0      0      3      2  -0.010319
     0      0      3      3  -0.018565
     0      0      3      4   0.020263
     0      0      3      5  -0.038034
     0      0      4      0   0.004383
     0      0      4      1   0.001586
     0      0      4      2  -0.017736
     0      0      4      3   0.020457
     0      0      4      4  -0.030566
     0      0      4      5   0.032046
     0      0      5      0   0.004074
     0      0      5      1  -0.008922
     0      0      5      2   0.019242
     0      0      5      3  -0.035445
     0      0      5      4   0.031893
     0      0      5      5  -0.053239
     0      1      0      0  -0.332090
     0      1      0      1   0.629837
     0      1      0      2  -0.237714
     0      1      0      3   0.055077
     0      1      0      4  -0.019747
     0      1      0      5   0.006921
     0      1      1      0   0.112679
     0      1      1      1  -0.202676
     0      1      1      2   0.075663
     0      1      1      3  -0.047019
     0      1      1      4   0.009967
     0      1      1      5  -0.001606
     0      1      2      0  -0.074731
     0      1      2      1   0.053880
     0      1      2      2  -0.037543
     0      1      2      3   0.008505
     0      1      2      4   0.002966
     0      1      2      5  -0.014315
     0      1      3      0   0.017981
     0      1      3      1  -0.015794
     0      1      3      2   0.001570
     0      1      3      3   0.008045
     0      1      3      4  -0.014774
     0      1      3      5   0.020364
     0      1      4      0   0.000475
     0      1      4      1  -0.006991
     0      1      4      2   0.013756
     0      1      4      3  -0.018793
     0      1      4      4   0.019622
     0      1      4      5  -0.026102
     0      1      5      0  -0.008917
     0      1      5      1   0.011614
     0      1      5      2  -0.021050
     0      1      5      3   0.024717
     0      1      5      4  -0.025779
     0      1      5      5   0.032003
     0      2      0      0   0.077645
     0      2      0      1  -0.237714
     0      2      0      2   0.609980
     0      2      0      3  -0.246020
     0      2      0      4   0.054992
     0      2      0      5  -0.032895
     0      2      1      0  -0.076669
     0      2      1      1   0.072894
     0      2      1      2  -0.179827
     0      2      1      3   0.056209
     0      2      1      4  -0.050248
     0      2      1      5   0.019903
     0      2      2      0   0.016494
     0      2      2      1  -0.032785
     0      2      2      2   0.026884
     0      2      2      3  -0.027430
     0      2      2      4   0.004083
     0      2      2      5  -0.008923
     0      2      3      0  -0.008030
     0      2      3      1   0.000213
     0      2      3      2   0.005444
     0      2      3      3  -0.011673
     0      2      3      4   0.007590
     0      2      3      5  -0.022049
     0      2      4      0  -0.014011
     0      2      4      1   0.013148
     0      2      4      2  -0.018015
     0      2      4      3   0.019724
     0      2      4      4  -0.020715
     0      2      4      5   0.020282
     0      2      5      0   0.019244
     0      2      5      1  -0.021050
     0      2      5      2   0.022241
     0      2      5      3  -0.027757
     0      2      5      4   0.024882
     0      2      5      5  -0.036042
     0      3      0      0  -0.033003
     0      3      0      1   0.055077
     0      3      0      2  -0.246020
     0      3      0      3   0.609925
     0      3      0      4  -0.237635
     0      3      0      5   0.077618
     0      3      1      0   0.020089
     0      3      1      1  -0.050427
     0      3      1      2   0.056230
     0      3      1      3  -0.179575
     0      3      1      4   0.072605
     0      3      1      5  -0.076469
     0      3      2      0  -0.008972
     0      3      2      1   0.004223
     0      3      2      2  -0.027424
     0      3      2      3   0.026687
     0      3      2      4  -0.032568
     0      3      2      5   0.016244
     0      3      3      0  -0.022553
     0      3      3      1   0.007600
     0      3      3      2  -0.011778
     0      3      3      3   0.005453
     0      3      3      4   0.000200
     0      3      3      5  -0.007579
     0      3      4      0   0.020101
     0      3      4      1  -0.020624
     0      3      4      2   0.019718
     0      3      4      3  -0.018196
     0      3      4      4   0.013307
     0      3      4      5  -0.014422
     0      3      5      0  -0.035445
     0      3      5      1   0.024706
     0      3      5      2  -0.027745
     0      3      5      3   0.022463
     0      3      5      4  -0.021353
     0      3      5      5   0.019543
     0      4      0      0   0.006938
     0      4      0      1  -0.019747
     0      4      0      2   0.054992
     0      4      0      3  -0.237635
     0      4      0      4   0.629695
