    X1     Y1     X2     Y2 <S(X1,Y1).S(X2,Y2)> (D=32k)
     0      0      0      0   0.691857
     0      0      0      1  -0.387591
     0      0      0      2   0.144318
     0      0      0      3  -0.134689
     0      0      1      0  -0.381001
     0      0      1      1   0.172108
     0      0      1      2  -0.151605
     0      0      1      3   0.105096
     0      0      2      0   0.138477
     0      0      2      1  -0.145677
     0      0      2      2   0.101662
     0      0      2      3  -0.099152
     0      0      3      0  -0.092981
     0      0      3      1   0.080527
     0      0      3      2  -0.078508
     0      0      3      3   0.063426
     0      0      4      0   0.048792
     0      0      4      1  -0.052648
     0      0      4      2   0.046171
     0      0      4      3  -0.047378
     0      0      5      0  -0.023440
     0      0      5      1   0.022099
     0      0      5      2  -0.023929
     0      0      5      3   0.017385
     0      0      6      0   0.003082
     0      0      6      1  -0.005452
     0      0      6      2   0.004974
     0      0      6      3  -0.005941
     0      0      7      0   0.007168
     0      0      7      1  -0.008285
     0      0      7      2   0.006705
     0      0      7      3  -0.008549
     0      0      8      0  -0.015653
     0      0      8      1   0.015069
     0      0      8      2  -0.015569
     0      0      8      3   0.013614
     0      0      9      0   0.017173
     0      0      9      1  -0.018836
     0      0      9      2   0.018177
     0      0      9      3  -0.017496
     0      0     10      0  -0.019448
     0      0     10      1   0.019091
     0      0     10      2  -0.019395
     0      0     10      3   0.018287
     0      0     11      0   0.018118
     0      0     11      1  -0.018514
     0      0     11      2   0.018285
     0      0     11      3  -0.018388
     0      0     12      0  -0.017211
     0      0     12      1   0.016746
     0      0     12      2  -0.016892
     0      0     12      3   0.016720
     0      0     13      0   0.015348
     0      0     13      1  -0.015273
     0      0     13      2   0.015144
     0      0     13      3  -0.015611
     0      0     14      0  -0.013005
     0      0     14      1   0.013664
     0      0     14      2  -0.013773
     0      0     14      3   0.012916
     0      0     15      0   0.012868
     0      0     15      1  -0.012315
     0      0     15      2   0.012222
     0      0     15      3  -0.013080
     0      1      0      0  -0.387591
     0      1      0      1   0.676112
     0      1      0      2  -0.286400
     0      1      0      3   0.144317
     0      1      1      0   0.169204
     0      1      1      1  -0.282209
     0      1      1      2   0.150418
     0      1      1      3  -0.133048
     0      1      2      0  -0.138778
     0      1      2      1   0.122234
     0      1      2      2  -0.115017
     0      1      2      3   0.096804
     0      1      3      0   0.077173
     0      1      3      1  -0.081425
     0      1      3      2   0.073404
     0      1      3      3  -0.071582
     0      1      4      0  -0.049115
     0      1      4      1   0.047425
     0      1      4      2  -0.047841
     0      1      4      3   0.043156
     0      1      5      0   0.020337
     0      1      5      1  -0.022832
     0      1      5      2   0.021678
     0      1      5      3  -0.021004
     0      1      6      0  -0.004775
     0      1      6      1   0.005005
     0      1      6      2  -0.006111
     0      1      6      3   0.003995
     0      1      7      0  -0.007201
     0      1      7      1   0.006759
     0      1      7      2  -0.007034
     0      1      7      3   0.006344
     0      1      8      0   0.013487
