     X      Y hole density (D=32k)
     0      0   0.010503
     0      1   0.011856
     0      2   0.011856
     0      3   0.010502
     1      0   0.019922
     1      1   0.022526
     1      2   0.022525
     1      3   0.019921
     2      0   0.038258
     2      1   0.043758
     2      2   0.043761
     2      3   0.038260
     3      0   0.057842
     3      1   0.066610
     3      2   0.066610
     3      3   0.057847
     4      0   0.071680
     4      1   0.083240
     4      2   0.083237
     4      3   0.071672
     5      0   0.083651
     5      1   0.099741
     5      2   0.099746
     5      3   0.083672
     6      0   0.086162
     6      1   0.106750
     6      2   0.106745
     6      3   0.086145
     7      0   0.087363
     7      1   0.110003
     7      2   0.110007
     7      3   0.087378
     8      0   0.087373
     8      1   0.110009
     8      2   0.110009
     8      3   0.087374
     9      0   0.086166
     9      1   0.106761
     9      2   0.106760
     9      3   0.086161
    10      0   0.083671
    10      1   0.099763
    10      2   0.099767
    10      3   0.083684
    11      0   0.071700
    11      1   0.083268
    11      2   0.083267
    11      3   0.071696
    12      0   0.057864
    12      1   0.066639
    12      2   0.066640
    12      3   0.057869
    13      0   0.038277
    13      1   0.043782
    13      2   0.043784
    13      3   0.038278
    14      0   0.019933
    14      1   0.022540
    14      2   0.022539
    14      3   0.019932
    15      0   0.010509
    15      1   0.011863
    15      2   0.011863
    15      3   0.010508
