    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=32k)
     0      0      0      0   2.113035
     0      0      0      1   1.892598
     0      0      0      2   1.953523
     0      0      0      3   1.958171
     0      0      1      0   1.876967
     0      0      1      1   1.931046
     0      0      1      2   1.933608
     0      0      1      3   1.939659
     0      0      2      0   1.901205
     0      0      2      1   1.891471
     0      0      2      2   1.892127
     0      0      2      3   1.903278
     0      0      3      0   1.864437
     0      0      3      1   1.847154
     0      0      3      2   1.846975
     0      0      3      3   1.864381
     0      0      4      0   1.836783
     0      0      4      1   1.813819
     0      0      4      2   1.813746
     0      0      4      3   1.836552
     0      0      5      0   1.812945
     0      0      5      1   1.780936
     0      0      5      2   1.780991
     0      0      5      3   1.812649
     0      0      6      0   1.807859
     0      0      6      1   1.766937
     0      0      6      2   1.766966
     0      0      6      3   1.807710
     0      0      7      0   1.805539
     0      0      7      1   1.760512
     0      0      7      2   1.760483
     0      0      7      3   1.805346
     0      0      8      0   1.805619
     0      0      8      1   1.760595
     0      0      8      2   1.760543
     0      0      8      3   1.805529
     0      0      9      0   1.808108
     0      0      9      1   1.767156
     0      0      9      2   1.767101
     0      0      9      3   1.808050
     0      0     10      0   1.813119
     0      0     10      1   1.781124
     0      0     10      2   1.781075
     0      0     10      3   1.813066
     0      0     11      0   1.836846
     0      0     11      1   1.813843
     0      0     11      2   1.813836
     0      0     11      3   1.836865
     0      0     12      0   1.864287
     0      0     12      1   1.846852
     0      0     12      2   1.846856
     0      0     12      3   1.864301
     0      0     13      0   1.903110
     0      0     13      1   1.892172
     0      0     13      2   1.892180
     0      0     13      3   1.903127
     0      0     14      0   1.939477
     0      0     14      1   1.934297
     0      0     14      2   1.934305
     0      0     14      3   1.939489
     0      0     15      0   1.958162
     0      0     15      1   1.955475
     0      0     15      2   1.955478
     0      0     15      3   1.958167
     0      1      0      0   1.892598
     0      1      0      1   2.149611
     0      1      0      2   1.899916
     0      1      0      3   1.953525
     0      1      1      0   1.933294
     0      1      1      1   1.886225
     0      1      1      2   1.928379
     0      1      1      3   1.936181
     0      1      2      0   1.899765
     0      1      2      1   1.888584
     0      1      2      2   1.889232
     0      1      2      3   1.900466
     0      1      3      0   1.861882
     0      1      3      1   1.844881
     0      1      3      2   1.844693
     0      1      3      3   1.861742
     0      1      4      0   1.834083
     0      1      4      1   1.811388
     0      1      4      2   1.811336
     0      1      4      3   1.834043
     0      1      5      0   1.810241
     0      1      5      1   1.778416
     0      1      5      2   1.778429
     0      1      5      3   1.810232
     0      1      6      0   1.805223
     0      1      6      1   1.764361
     0      1      6      2   1.764333
     0      1      6      3   1.805246
     0      1      7      0   1.802937
     0      1      7      1   1.757957
     0      1      7      2   1.757902
     0      1      7      3   1.802865
     0      1      8      0   1.803052
     0      1      8      1   1.758055
     0      1      8      2   1.758019
     0      1      8      3   1.803009
     0      1      9      0   1.805560
     0      1      9      1   1.764626
     0      1      9      2   1.764597
     0      1      9      3   1.805526
     0      1     10      0   1.810583
     0      1     10      1   1.778590
     0      1     10      2   1.778567
     0      1     10      3   1.810531
     0      1     11      0   1.834293
     0      1     11      1   1.811280
     0      1     11      2   1.811285
     0      1     11      3   1.834297
     0      1     12      0   1.861707
     0      1     12      1   1.844263
     0      1     12      2   1.844271
     0      1     12      3   1.861703
     0      1     13      0   1.900485
     0      1     13      1   1.889545
     0      1     13      2   1.889550
     0      1     13      3   1.900492
     0      1     14      0   1.936813
     0      1     14      1   1.931632
     0      1     14      2   1.931637
     0      1     14      3   1.936820
     0      1     15      0   1.955477
     0      1     15      1   1.952792
     0      1     15      2   1.952793
     0      1     15      3   1.955481
     0      2      0      0   1.953523
     0      2      0      1   1.899916
     0      2      0      2   2.149610
     0      2      0      3   1.892600
     0      2      1      0   1.936179
     0      2      1      1   1.928378
     0      2      1      2   1.886226
     0      2      1      3   1.933296
     0      2      2      0   1.900469
     0      2      2      1   1.889237
     0      2      2      2   1.888579
     0      2      2      3   1.899761
     0      2      3      0   1.861752
     0      2      3      1   1.844694
     0      2      3      2   1.844881
     0      2      3      3   1.861872
     0      2      4      0   1.834027
     0      2      4      1   1.811331
     0      2      4      2   1.811393
     0      2      4      3   1.834100
     0      2      5      0   1.810273
     0      2      5      1   1.778441
     0      2      5      2   1.778403
     0      2      5      3   1.810198
     0      2      6      0   1.805210
     0      2      6      1   1.764323
     0      2      6      2   1.764371
     0      2      6      3   1.805258
     0      2      7      0   1.802894
     0      2      7      1   1.757910
     0      2      7      2   1.757949
     0      2      7      3   1.802907
     0      2      8      0   1.803008
     0      2      8      1   1.758018
     0      2      8      2   1.758056
     0      2      8      3   1.803052
     0      2      9      0   1.805515
     0      2      9      1   1.764594
     0      2      9      2   1.764629
     0      2      9      3   1.805570
     0      2     10      0   1.810557
     0      2     10      1   1.778575
     0      2     10      2   1.778582
     0      2     10      3   1.810557
     0      2     11      0   1.834288
     0      2     11      1   1.811283
     0      2     11      2   1.811283
     0      2     11      3   1.834302
     0      2     12      0   1.861713
     0      2     12      1   1.844272
     0      2     12      2   1.844261
     0      2     12      3   1.861697
     0      2     13      0   1.900493
     0      2     13      1   1.889553
     0      2     13      2   1.889542
     0      2     13      3   1.900483
     0      2     14      0   1.936818
     0      2     14      1   1.931636
     0      2     14      2   1.931633
     0      2     14      3   1.936814
     0      2     15      0   1.955480
     0      2     15      1   1.952793
     0      2     15      2   1.952792
     0      2     15      3   1.955479
     0      3      0      0   1.958171
     0      3      0      1   1.953525
     0      3      0      2   1.892600
     0      3      0      3   2.113038
     0      3      1      0   1.939659
     0      3      1      1   1.933608
     0      3      1      2   1.931049
     0      3      1      3   1.876970
     0      3      2      0   1.903284
     0      3      2      1   1.892134
     0      3      2      2   1.891468
     0      3      2      3   1.901203
     0      3      3      0   1.864393
     0      3      3      1   1.846978
     0      3      3      2   1.847156
     0      3      3      3   1.864429
     0      3      4      0   1.836537
     0      3      4      1   1.813743
     0      3      4      2   1.813825
     0      3      4      3   1.836801
     0      3      5      0   1.812693
     0      3      5      1   1.781004
     0      3      5      2   1.780926
     0      3      5      3   1.812906
     0      3      6      0   1.807676
     0      3      6      1   1.766957
     0      3      6      2   1.766948
     0      3      6      3   1.807896
     0      3      7      0   1.805378
     0      3      7      1   1.760492
     0      3      7      2   1.760506
     0      3      7      3   1.805511
     0      3      8      0   1.805530
     0      3      8      1   1.760543
     0      3      8      2   1.760597
     0      3      8      3   1.805621
     0      3      9      0   1.808041
     0      3      9      1   1.767100
     0      3      9      2   1.767161
     0      3      9      3   1.808121
     0      3     10      0   1.813094
     0      3     10      1   1.781084
     0      3     10      2   1.781118
     0      3     10      3   1.813095
     0      3     11      0   1.836858
     0      3     11      1   1.813835
     0      3     11      2   1.813847
     0      3     11      3   1.836857
     0      3     12      0   1.864313
     0      3     12      1   1.846860
     0      3     12      2   1.846852
     0      3     12      3   1.864279
     0      3     13      0   1.903130
     0      3     13      1   1.892184
     0      3     13      2   1.892171
     0      3     13      3   1.903110
     0      3     14      0   1.939489
     0      3     14      1   1.934305
     0      3     14      2   1.934300
     0      3     14      3   1.939481
     0      3     15      0   1.958167
     0      3     15      1   1.955479
     0      3     15      2   1.955476
     0      3     15      3   1.958165
     1      0      0      0   1.876967
     1      0      0      1   1.933294
     1      0      0      2   1.936179
     1      0      0      3   1.939659
     1      0      1      0   2.131260
     1      0      1      1   1.872777
     1      0      1      2   1.914909
     1      0      1      3   1.921407
     1      0      2      0   1.829284
     1      0      2      1   1.871371
     1      0      2      2   1.873647
     1      0      2      3   1.885380
     1      0      3      0   1.844579
     1      0      3      1   1.828801
     1      0      3      2   1.828929
     1      0      3      3   1.846706
     1      0      4      0   1.818845
     1      0      4      1   1.796266
     1      0      4      2   1.795911
     1      0      4      3   1.818957
     1      0      5      0   1.795185
     1      0      5      1   1.763395
     1      0      5      2   1.763276
     1      0      5      3   1.794852
     1      0      6      0   1.790176
     1      0      6      1   1.749459
     1      0      6      2   1.749486
     1      0      6      3   1.789832
     1      0      7      0   1.787910
     1      0      7      1   1.743113
     1      0      7      2   1.743070
     1      0      7      3   1.787482
     1      0      8      0   1.788089
     1      0      8      1   1.743273
     1      0      8      2   1.743166
     1      0      8      3   1.787756
     1      0      9      0   1.790646
     1      0      9      1   1.749869
     1      0      9      2   1.749728
     1      0      9      3   1.790382
     1      0     10      0   1.795653
     1      0     10      1   1.763787
     1      0     10      2   1.763656
     1      0     10      3   1.795443
     1      0     11      0   1.819181
     1      0     11      1   1.796278
     1      0     11      2   1.796214
     1      0     11      3   1.819117
     1      0     12      0   1.846376
     1      0     12      1   1.829032
     1      0     12      2   1.829014
     1      0     12      3   1.846368
     1      0     13      0   1.884876
     1      0     13      1   1.874009
     1      0     13      2   1.874010
     1      0     13      3   1.884900
     1      0     14      0   1.920949
     1      0     14      1   1.915801
     1      0     14      2   1.915812
