    X1     Y1     X2     Y2 <S(X1,Y1).S(X2,Y2)> (D=32k)
     0      0      0      0   0.667262
     0      0      0      1  -0.328889
     0      0      0      2   0.083643
     0      0      0      3  -0.033377
     0      0      0      4   0.005874
     0      0      0      5   0.005696
     0      0      1      0  -0.358094
     0      0      1      1   0.120541
     0      0      1      2  -0.089853
     0      0      1      3   0.025505
     0      0      1      4  -0.004107
     0      0      1      5  -0.006994
     0      0      2      0   0.095052
     0      0      2      1  -0.091361
     0      0      2      2   0.028828
     0      0      2      3  -0.013520
     0      0      2      4  -0.008562
     0      0      2      5   0.016542
     0      0      3      0  -0.056144
     0      0      3      1   0.031174
     0      0      3      2  -0.021369
     0      0      3      3  -0.010882
     0      0      3      4   0.014977
     0      0      3      5  -0.028109
     0      0      4      0   0.024916
     0      0      4      1  -0.016685
     0      0      4      2  -0.001524
     0      0      4      3   0.009551
     0      0      4      4  -0.028108
     0      0      4      5   0.032125
     0      0      5      0  -0.015144
     0      0      5      1   0.006393
     0      0      5      2   0.001695
     0      0      5      3  -0.018151
     0      0      5      4   0.026334
     0      0      5      5  -0.043806
     0      0      6      0   0.011070
     0      0      6      1  -0.005620
     0      0      6      2  -0.003742
     0      0      6      3   0.013538
     0      0      6      4  -0.028246
     0      0      6      5   0.033030
     0      0      7      0  -0.010694
     0      0      7      1   0.005577
     0      0      7      2   0.002165
     0      0      7      3  -0.014073
     0      0      7      4   0.023263
     0      0      7      5  -0.035283
     0      0      8      0   0.010086
     0      0      8      1  -0.007246
     0      0      8      2   0.000830
     0      0      8      3   0.006451
     0      0      8      4  -0.016617
     0      0      8      5   0.021215
     0      0      9      0  -0.010561
     0      0      9      1   0.006685
     0      0      9      2  -0.002086
     0      0      9      3  -0.005622
     0      0      9      4   0.012005
     0      0      9      5  -0.019734
     0      0     10      0   0.009422
     0      0     10      1  -0.006957
     0      0     10      2   0.002027
     0      0     10      3   0.002399
     0      0     10      4  -0.009039
     0      0     10      5   0.012398
     0      0     11      0  -0.009743
     0      0     11      1   0.006329
     0      0     11      2  -0.003137
     0      0     11      3  -0.002661
     0      0     11      4   0.006123
     0      0     11      5  -0.010310
     0      0     12      0   0.008496
     0      0     12      1  -0.006678
     0      0     12      2   0.002129
     0      0     12      3   0.001081
     0      0     12      4  -0.005298
     0      0     12      5   0.007274
     0      0     13      0  -0.008224
     0      0     13      1   0.005388
     0      0     13      2  -0.002900
     0      0     13      3  -0.001323
     0      0     13      4   0.003522
     0      0     13      5  -0.005818
     0      0     14      0   0.005511
     0      0     14      1  -0.004754
     0      0     14      2   0.002120
     0      0     14      3   0.000181
     0      0     14      4  -0.002591
     0      0     14      5   0.003584
     0      0     15      0  -0.006003
     0      0     15      1   0.004074
     0      0     15      2  -0.002435
     0      0     15      3  -0.000350
     0      0     15      4   0.002124
     0      0     15      5  -0.003775
     0      1      0      0  -0.328889
     0      1      0      1   0.635301
     0      1      0      2  -0.241806
     0      1      0      3   0.056794
     0      1      0      4  -0.020617
     0      1      0      5   0.005857
     0      1      1      0   0.124918
     0      1      1      1  -0.222924
     0      1      1      2   0.083074
     0      1      1      3  -0.054217
     0      1      1      4   0.015869
     0      1      1      5  -0.004397
     0      1      2      0  -0.089661
     0      1      2      1   0.063088
     0      1      2      2  -0.043094
     0      1      2      3   0.012585
     0      1      2      4  -0.005187
     0      1      2      5  -0.008037
     0      1      3      0   0.035624
     0      1      3      1  -0.026074
     0      1      3      2   0.009963
     0      1      3      3   0.000212
     0      1      3      4  -0.011119
     0      1      3      5   0.014146
     0      1      4      0  -0.015628
     0      1      4      1   0.007372
     0      1      4      2   0.001412
     0      1      4      3  -0.010236
     0      1      4      4   0.017502
     0      1      4      5  -0.026826
     0      1      5      0   0.006149
     0      1      5      1  -0.000875
     0      1      5      2  -0.005478
     0      1      5      3   0.013328
     0      1      5      4  -0.022205
     0      1      5      5   0.028878
     0      1      6      0  -0.004519
     0      1      6      1   0.000387
     0      1      6      2   0.004994
     0      1      6      3  -0.012058
     0      1      6      4   0.021418
     0      1      6      5  -0.025862
     0      1      7      0   0.004151
     0      1      7      1  -0.001372
     0      1      7      2  -0.004193
     0      1      7      3   0.011496
     0      1      7      4  -0.018822
     0      1      7      5   0.024307
     0      1      8      0  -0.005261
     0      1      8      1   0.003442
     0      1      8      2   0.000174
     0      1      8      3  -0.005037
     0      1      8      4   0.011801
     0      1      8      5  -0.015243
     0      1      9      0   0.005655
     0      1      9      1  -0.003704
     0      1      9      2   0.000770
     0      1      9      3   0.003909
     0      1      9      4  -0.008589
     0      1      9      5   0.013376
     0      1     10      0  -0.005760
     0      1     10      1   0.004180
     0      1     10      2  -0.001321
     0      1     10      3  -0.001613
     0      1     10      4   0.005987
     0      1     10      5  -0.008409
     0      1     11      0   0.006104
     0      1     11      1  -0.004137
     0      1     11      2   0.002038
     0      1     11      3   0.001586
     0      1     11      4  -0.003915
     0      1     11      5   0.006597
     0      1     12      0  -0.005646
     0      1     12      1   0.004431
     0      1     12      2  -0.001510
     0      1     12      3  -0.000576
     0      1     12      4   0.003202
     0      1     12      5  -0.004522
     0      1     13      0   0.005497
     0      1     13      1  -0.003693
     0      1     13      2   0.002030
     0      1     13      3   0.000641
     0      1     13      4  -0.002034
     0      1     13      5   0.003430
     0      1     14      0  -0.003761
     0      1     14      1   0.003292
     0      1     14      2  -0.001589
     0      1     14      3   0.000115
     0      1     14      4   0.001392
     0      1     14      5  -0.002057
     0      1     15      0   0.004074
     0      1     15      1  -0.002843
     0      1     15      2   0.001792
     0      1     15      3  -0.000037
     0      1     15      4  -0.001125
     0      1     15      5   0.002135
     0      2      0      0   0.083643
     0      2      0      1  -0.241806
     0      2      0      2   0.616444
     0      2      0      3  -0.237831
     0      2      0      4   0.056711
     0      2      0      5  -0.033247
     0      2      1      0  -0.086135
     0      2      1      1   0.085024
     0      2      1      2  -0.203341
     0      2      1      3   0.067135
     0      2      1      4  -0.056826
     0      2      1      5   0.025277
     0      2      2      0   0.033581
     0      2      2      1  -0.048468
     0      2      2      2   0.034094
     0      2      2      3  -0.035382
     0      2      2      4   0.014154
     0      2      2      5  -0.014838
     0      2      3      0  -0.026517
     0      2      3      1   0.011616
     0      2      3      2  -0.004677
     0      2      3      3  -0.002470
     0      2      3      4  -0.002363
     0      2      3      5  -0.008331
     0      2      4      0  -0.001239
     0      2      4      1   0.000405
     0      2      4      2  -0.005363
     0      2      4      3   0.007876
     0      2      4      4  -0.012913
     0      2      4      5   0.011994
     0      2      5      0   0.005532
     0      2      5      1  -0.008607
     0      2      5      2   0.006453
     0      2      5      3  -0.011181
