    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=32k)
     0      0      0      0   2.022207
     0      0      0      1   1.693588
     0      0      0      2   1.698580
     0      0      0      3   1.700952
     0      0      0      4   1.755024
     0      0      0      5   1.805098
     0      0      1      0   1.708979
     0      0      1      1   1.712348
     0      0      1      2   1.661583
     0      0      1      3   1.662115
     0      0      1      4   1.713075
     0      0      1      5   1.772804
     0      0      2      0   1.716371
     0      0      2      1   1.651873
     0      0      2      2   1.599686
     0      0      2      3   1.599546
     0      0      2      4   1.652532
     0      0      2      5   1.719584
     0      0      3      0   1.704816
     0      0      3      1   1.619889
     0      0      3      2   1.569655
     0      0      3      3   1.569434
     0      0      3      4   1.618803
     0      0      3      5   1.703813
     0      0      4      0   1.703162
     0      0      4      1   1.611654
     0      0      4      2   1.560075
     0      0      4      3   1.559837
     0      0      4      4   1.610975
     0      0      4      5   1.702678
     0      0      5      0   1.706851
     0      0      5      1   1.615427
     0      0      5      2   1.557579
     0      0      5      3   1.557513
     0      0      5      4   1.615437
     0      0      5      5   1.706980
     0      0      6      0   1.724374
     0      0      6      1   1.626388
     0      0      6      2   1.566388
     0      0      6      3   1.566476
     0      0      6      4   1.626418
     0      0      6      5   1.723995
     0      0      7      0   1.727773
     0      0      7      1   1.634005
     0      0      7      2   1.568650
     0      0      7      3   1.568807
     0      0      7      4   1.634330
     0      0      7      5   1.727840
     0      0      8      0   1.728035
     0      0      8      1   1.634282
     0      0      8      2   1.568850
     0      0      8      3   1.568993
     0      0      8      4   1.634538
     0      0      8      5   1.728251
     0      0      9      0   1.725129
     0      0      9      1   1.627258
     0      0      9      2   1.567025
     0      0      9      3   1.567005
     0      0      9      4   1.627160
     0      0      9      5   1.724783
     0      0     10      0   1.707960
     0      0     10      1   1.616828
     0      0     10      2   1.558855
     0      0     10      3   1.558864
     0      0     10      4   1.616960
     0      0     10      5   1.708528
     0      0     11      0   1.704847
     0      0     11      1   1.613519
     0      0     11      2   1.562052
     0      0     11      3   1.561998
     0      0     11      4   1.613287
     0      0     11      5   1.704586
     0      0     12      0   1.706626
     0      0     12      1   1.622104
     0      0     12      2   1.572288
     0      0     12      3   1.572210
     0      0     12      4   1.621859
     0      0     12      5   1.706161
     0      0     13      0   1.720868
     0      0     13      1   1.655079
     0      0     13      2   1.602472
     0      0     13      3   1.602537
     0      0     13      4   1.655360
     0      0     13      5   1.721610
     0      0     14      0   1.774963
     0      0     14      1   1.715500
     0      0     14      2   1.664481
     0      0     14      3   1.664320
     0      0     14      4   1.715088
     0      0     14      5   1.774294
     0      0     15      0   1.806398
     0      0     15      1   1.756942
     0      0     15      2   1.703229
     0      0     15      3   1.703188
     0      0     15      4   1.756738
     0      0     15      5   1.806170
     0      1      0      0   1.693588
     0      1      0      1   2.003594
     0      1      0      2   1.594129
     0      1      0      3   1.650038
     0      1      0      4   1.705633
     0      1      0      5   1.755010
     0      1      1      0   1.721965
     0      1      1      1   1.622762
     0      1      1      2   1.614528
     0      1      1      3   1.614465
     0      1      1      4   1.664760
     0      1      1      5   1.723259
     0      1      2      0   1.668775
     0      1      2      1   1.605597
     0      1      2      2   1.554101
     0      1      2      3   1.554174
     0      1      2      4   1.605260
     0      1      2      5   1.670730
     0      1      3      0   1.656614
     0      1      3      1   1.575027
     0      1      3      2   1.526082
     0      1      3      3   1.525223
     0      1      3      4   1.572989
     0      1      3      5   1.655304
     0      1      4      0   1.655541
     0      1      4      1   1.566717
     0      1      4      2   1.517055
     0      1      4      3   1.516641
     0      1      4      4   1.565803
     0      1      4      5   1.654720
     0      1      5      0   1.659483
     0      1      5      1   1.570651
     0      1      5      2   1.514623
     0      1      5      3   1.514735
     0      1      5      4   1.570704
     0      1      5      5   1.659379
     0      1      6      0   1.676923
     0      1      6      1   1.581632
     0      1      6      2   1.523463
     0      1      6      3   1.523607
     0      1      6      4   1.581800
     0      1      6      5   1.676603
     0      1      7      0   1.680400
     0      1      7      1   1.589298
     0      1      7      2   1.525862
     0      1      7      3   1.526110
     0      1      7      4   1.589711
     0      1      7      5   1.680603
     0      1      8      0   1.680781
     0      1      8      1   1.589655
     0      1      8      2   1.526031
     0      1      8      3   1.526182
     0      1      8      4   1.589930
     0      1      8      5   1.681041
     0      1      9      0   1.677979
     0      1      9      1   1.582819
     0      1      9      2   1.524236
     0      1      9      3   1.524221
     0      1      9      4   1.582720
     0      1      9      5   1.677675
     0      1     10      0   1.661266
     0      1     10      1   1.572639
     0      1     10      2   1.516261
     0      1     10      3   1.516266
     0      1     10      4   1.572764
     0      1     10      5   1.661822
     0      1     11      0   1.658236
     0      1     11      1   1.569416
     0      1     11      2   1.519367
     0      1     11      3   1.519314
     0      1     11      4   1.569189
     0      1     11      5   1.657984
     0      1     12      0   1.659976
     0      1     12      1   1.577770
     0      1     12      2   1.529326
     0      1     12      3   1.529252
     0      1     12      4   1.577531
     0      1     12      5   1.659522
     0      1     13      0   1.673839
     0      1     13      1   1.609852
     0      1     13      2   1.558693
     0      1     13      3   1.558755
     0      1     13      4   1.610127
     0      1     13      5   1.674561
     0      1     14      0   1.726470
     0      1     14      1   1.668633
     0      1     14      2   1.619015
     0      1     14      3   1.618857
     0      1     14      4   1.668232
     0      1     14      5   1.725819
     0      1     15      0   1.757054
     0      1     15      1   1.708953
     0      1     15      2   1.656714
     0      1     15      3   1.656674
     0      1     15      4   1.708754
     0      1     15      5   1.756831
     0      2      0      0   1.698580
     0      2      0      1   1.594129
     0      2      0      2   1.941182
     0      2      0      3   1.539753
     0      2      0      4   1.649878
     0      2      0      5   1.700777
     0      2      1      0   1.669016
     0      2      1      1   1.612666
     0      2      1      2   1.517023
     0      2      1      3   1.564346
     0      2      1      4   1.612313
     0      2      1      5   1.669626
     0      2      2      0   1.617094
     0      2      2      1   1.555076
     0      2      2      2   1.504021
     0      2      2      3   1.504389
     0      2      2      4   1.555261
     0      2      2      5   1.617928
     0      2      3      0   1.603964
     0      2      3      1   1.525112
     0      2      3      2   1.478873
     0      2      3      3   1.477940
     0      2      3      4   1.523989
     0      2      3      5   1.603528
     0      2      4      0   1.603484
     0      2      4      1   1.517968
     0      2      4      2   1.470352
     0      2      4      3   1.470247
     0      2      4      4   1.517343
     0      2      4      5   1.602950
     0      2      5      0   1.608165
     0      2      5      1   1.522400
     0      2      5      2   1.468330
     0      2      5      3   1.468341
     0      2      5      4   1.522567
     0      2      5      5   1.608177
     0      2      6      0   1.625578
     0      2      6      1   1.533395
     0      2      6      2   1.477131
     0      2      6      3   1.477167
     0      2      6      4   1.533514
     0      2      6      5   1.625347
     0      2      7      0   1.629161
     0      2      7      1   1.540999
     0      2      7      2   1.479617
     0      2      7      3   1.479731
     0      2      7      4   1.541275
     0      2      7      5   1.629246
     0      2      8      0   1.629588
     0      2      8      1   1.541299
     0      2      8      2   1.479614
     0      2      8      3   1.479732
     0      2      8      4   1.541501
     0      2      8      5   1.629779
     0      2      9      0   1.626862
     0      2      9      1   1.534619
     0      2      9      2   1.477824
     0      2      9      3   1.477783
     0      2      9      4   1.534492
     0      2      9      5   1.626508
     0      2     10      0   1.610614
     0      2     10      1   1.524701
     0      2     10      2   1.470040
     0      2     10      3   1.470039
     0      2     10      4   1.524804
     0      2     10      5   1.611126
     0      2     11      0   1.607669
     0      2     11      1   1.521558
     0      2     11      2   1.473046
     0      2     11      3   1.472999
     0      2     11      4   1.521335
     0      2     11      5   1.607408
     0      2     12      0   1.609349
     0      2     12      1   1.529656
     0      2     12      2   1.482706
     0      2     12      3   1.482636
     0      2     12      4   1.529433
     0      2     12      5   1.608914
     0      2     13      0   1.622801
     0      2     13      1   1.560774
     0      2     13      2   1.511182
     0      2     13      3   1.511247
     0      2     13      4   1.561046
     0      2     13      5   1.623511
     0      2     14      0   1.673842
     0      2     14      1   1.617773
     0      2     14      2   1.569674
     0      2     14      3   1.569525
     0      2     14      4   1.617388
     0      2     14      5   1.673215
     0      2     15      0   1.703500
     0      2     15      1   1.656872
     0      2     15      2   1.606232
     0      2     15      3   1.606196
     0      2     15      4   1.656683
     0      2     15      5   1.703289
     0      3      0      0   1.700952
     0      3      0      1   1.650038
     0      3      0      2   1.539753
     0      3      0      3   1.941121
     0      3      0      4   1.593895
     0      3      0      5   1.698337
     0      3      1      0   1.670239
     0      3      1      1   1.612657
     0      3      1      2   1.564463
     0      3      1      3   1.516872
     0      3      1      4   1.612253
     0      3      1      5   1.668331
     0      3      2      0   1.617059
     0      3      2      1   1.554894
     0      3      2      2   1.504280
     0      3      2      3   1.504069
     0      3      2      4   1.555371
     0      3      2      5   1.617905
     0      3      3      0   1.604079
     0      3      3      1   1.524197
     0      3      3      2   1.477972
     0      3      3      3   1.478783
     0      3      3      4   1.524842
     0      3      3      5   1.603371
     0      3      4      0   1.603018
     0      3      4      1   1.517475
     0      3      4      2   1.470248
     0      3      4      3   1.470293
     0      3      4      4   1.517772
     0      3      4      5   1.603356
     0      3      5      0   1.607812
     0      3      5      1   1.522504
     0      3      5      2   1.468331
     0      3      5      3   1.468291
     0      3      5      4   1.522404
     0      3      5      5   1.608471
     0      3      6      0   1.625572
     0      3      6      1   1.533586
     0      3      6      2   1.477174
     0      3      6      3   1.477081
     0      3      6      4   1.533270
     0      3      6      5   1.625300
     0      3      7      0   1.629223
     0      3      7      1   1.541177
