     X      Y hole density (D=16k)
     0      0   0.046889
     0      1   0.073187
     0      2   0.103583
     0      3   0.103622
     0      4   0.073397
     0      5   0.047064
     1      0   0.060405
     1      1   0.088860
     1      2   0.117586
     1      3   0.117757
     1      4   0.089400
     1      5   0.061157
     2      0   0.088462
     2      1   0.121081
     2      2   0.150844
     2      3   0.150748
     2      4   0.120745
     2      5   0.087762
     3      0   0.093670
     3      1   0.139504
     3      2   0.169578
     3      3   0.169591
     3      4   0.139620
     3      5   0.094028
     4      0   0.095317
     4      1   0.146364
     4      2   0.180172
     4      3   0.180246
     4      4   0.146634
     4      5   0.095465
     5      0   0.096662
     5      1   0.151259
     5      2   0.188167
     5      3   0.188295
     5      4   0.151440
     5      5   0.096587
     6      0   0.093741
     6      1   0.155283
     6      2   0.192434
     6      3   0.192476
     6      4   0.155514
     6      5   0.093962
     7      0   0.094892
     7      1   0.155091
     7      2   0.194708
     7      3   0.194665
     7      4   0.155107
     7      5   0.094990
     8      0   0.094852
     8      1   0.154976
     8      2   0.194582
     8      3   0.194534
     8      4   0.154958
     8      5   0.094851
     9      0   0.093546
     9      1   0.154966
     9      2   0.192116
     9      3   0.192163
     9      4   0.155243
     9      5   0.093877
    10      0   0.096595
    10      1   0.150932
    10      2   0.187710
    10      3   0.187829
    10      4   0.151062
    10      5   0.096370
    11      0   0.095204
    11      1   0.146103
    11      2   0.179785
    11      3   0.179865
    11      4   0.146420
    11      5   0.095488
    12      0   0.093900
    12      1   0.139604
    12      2   0.169575
    12      3   0.169587
    12      4   0.139687
    12      5   0.094139
    13      0   0.088744
    13      1   0.121548
    13      2   0.151291
    13      3   0.151206
    13      4   0.121259
    13      5   0.088137
    14      0   0.060868
    14      1   0.089609
    14      2   0.118359
    14      3   0.118513
    14      4   0.090108
    14      5   0.061566
    15      0   0.047235
    15      1   0.073653
    15      2   0.104046
    15      3   0.104081
    15      4   0.073842
    15      5   0.047403
