    X1     Y1     X2     Y2 <S(X1,Y1).S(X2,Y2)> (D=32k)
     0      0      0      0   0.671321
     0      0      0      1  -0.346219
     0      0      0      2   0.084671
     0      0      0      3  -0.032268
     0      0      0      4  -0.008145
     0      0      0      5   0.031240
     0      0      0      6  -0.044477
     0      0      0      7   0.053877
     0      0      1      0  -0.344912
     0      0      1      1   0.123533
     0      0      1      2  -0.093386
     0      0      1      3   0.018522
     0      0      1      4   0.008713
     0      0      1      5  -0.033791
     0      0      1      6   0.051599
     0      0      1      7  -0.055663
     0      0      2      0   0.124772
     0      0      2      1  -0.112803
     0      0      2      2   0.043387
     0      0      2      3  -0.024361
     0      0      2      4  -0.015771
     0      0      2      5   0.035140
     0      0      2      6  -0.054932
     0      0      2      7   0.062999
     0      0      3      0  -0.091654
     0      0      3      1   0.067582
     0      0      3      2  -0.046192
     0      0      3      3   0.006155
     0      0      3      4   0.011631
     0      0      3      5  -0.041511
     0      0      3      6   0.056748
     0      0      3      7  -0.068649
     0      0      4      0   0.068814
     0      0      4      1  -0.059399
     0      0      4      2   0.034518
     0      0      4      3  -0.012091
     0      0      4      4  -0.017640
     0      0      4      5   0.036623
     0      0      4      6  -0.059617
     0      0      4      7   0.065789
     0      0      5      0  -0.061656
     0      0      5      1   0.050290
     0      0      5      2  -0.033403
     0      0      5      3   0.009346
     0      0      5      4   0.011503
     0      0      5      5  -0.036888
     0      0      5      6   0.051762
     0      0      5      7  -0.063090
     0      0      6      0   0.052911
     0      0      6      1  -0.045943
     0      0      6      2   0.028454
     0      0      6      3  -0.010459
     0      0      6      4  -0.011183
     0      0      6      5   0.029488
     0      0      6      6  -0.048130
     0      0      6      7   0.054630
     0      0      7      0  -0.048918
     0      0      7      1   0.040083
     0      0      7      2  -0.026682
     0      0      7      3   0.008164
     0      0      7      4   0.008278
     0      0      7      5  -0.027242
     0      0      7      6   0.040831
     0      0      7      7  -0.049957
     0      0      8      0   0.041904
     0      0      8      1  -0.036492
     0      0      8      2   0.022591
     0      0      8      3  -0.008386
     0      0      8      4  -0.008308
     0      0      8      5   0.022647
     0      0      8      6  -0.037099
     0      0      8      7   0.042619
     0      0      9      0  -0.038851
     0      0      9      1   0.031846
     0      0      9      2  -0.021496
     0      0      9      3   0.006589
     0      0      9      4   0.006392
     0      0      9      5  -0.021481
     0      0      9      6   0.031877
     0      0      9      7  -0.038747
     0      0     10      0   0.033071
     0      0     10      1  -0.028832
     0      0     10      2   0.017904
     0      0     10      3  -0.007026
     0      0     10      4  -0.006858
     0      0     10      5   0.017774
     0      0     10      6  -0.029004
     0      0     10      7   0.033296
     0      0     11      0  -0.029869
     0      0     11      1   0.024622
     0      0     11      2  -0.016738
     0      0     11      3   0.004611
     0      0     11      4   0.004528
     0      0     11      5  -0.016535
     0      0     11      6   0.024465
     0      0     11      7  -0.029629
     0      0     12      0   0.025501
     0      0     12      1  -0.021612
