     X      Y hole density (D=32k)
     0      0   0.043915
     0      1   0.080427
     0      2   0.129578
     0      3   0.154138
     0      4   0.154254
     0      5   0.128850
     0      6   0.079684
     0      7   0.042977
     1      0   0.050795
     1      1   0.101486
     1      2   0.158494
     1      3   0.194804
     1      4   0.194932
     1      5   0.158715
     1      6   0.102262
     1      7   0.051466
     2      0   0.058448
     2      1   0.109604
     2      2   0.169711
     2      3   0.199703
     2      4   0.199679
     2      5   0.169815
     2      6   0.110047
     2      7   0.057960
     3      0   0.055259
     3      1   0.108655
     3      2   0.165742
     3      3   0.196766
     3      4   0.196903
     3      5   0.166255
     3      6   0.109242
     3      7   0.055616
     4      0   0.050866
     4      1   0.103601
     4      2   0.161119
     4      3   0.195106
     4      4   0.195366
     4      5   0.161595
     4      6   0.104249
     4      7   0.051390
     5      0   0.048116
     5      1   0.099902
     5      2   0.161171
     5      3   0.194601
     5      4   0.194618
     5      5   0.161487
     5      6   0.100475
     5      7   0.048548
     6      0   0.045993
     6      1   0.099829
     6      2   0.160233
     6      3   0.195769
     6      4   0.195949
     6      5   0.160522
     6      6   0.100364
     6      7   0.046317
     7      0   0.046076
     7      1   0.099546
     7      2   0.161129
     7      3   0.195593
     7      4   0.195743
     7      5   0.161521
     7      6   0.100129
     7      7   0.046454
     8      0   0.046128
     8      1   0.099578
     8      2   0.161128
     8      3   0.195591
     8      4   0.195745
     8      5   0.161522
     8      6   0.100099
     8      7   0.046389
     9      0   0.045927
     9      1   0.099786
     9      2   0.160231
     9      3   0.195770
     9      4   0.195945
     9      5   0.160524
     9      6   0.100392
     9      7   0.046369
    10      0   0.048157
    10      1   0.099918
    10      2   0.161157
    10      3   0.194602
    10      4   0.194623
    10      5   0.161484
    10      6   0.100434
    10      7   0.048462
    11      0   0.050783
    11      1   0.103547
    11      2   0.161100
    11      3   0.195102
    11      4   0.195363
    11      5   0.161586
    11      6   0.104255
    11      7   0.051421
    12      0   0.055358
    12      1   0.108710
    12      2   0.165743
    12      3   0.196759
    12      4   0.196895
    12      5   0.166250
    12      6   0.109179
    12      7   0.055498
    13      0   0.058437
    13      1   0.109649
    13      2   0.169762
    13      3   0.199730
    13      4   0.199676
    13      5   0.169813
    13      6   0.110076
    13      7   0.058033
    14      0   0.050907
    14      1   0.101608
    14      2   0.158572
    14      3   0.194843
    14      4   0.194947
    14      5   0.158730
    14      6   0.102265
    14      7   0.051464
    15      0   0.043998
    15      1   0.080537
    15      2   0.129666
    15      3   0.154204
    15      4   0.154316
    15      5   0.128923
    15      6   0.079744
    15      7   0.043033
