    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=32k)
     0      0      0      0   2.034152
     0      0      0      1   1.692202
     0      0      0      2   1.658677
     0      0      0      3   1.613797
     0      0      0      4   1.613576
     0      0      0      5   1.662547
     0      0      0      6   1.757509
     0      0      0      7   1.828713
     0      0      1      0   1.753330
     0      0      1      1   1.714683
     0      0      1      2   1.605826
     0      0      1      3   1.536095
     0      0      1      4   1.535654
     0      0      1      5   1.604999
     0      0      1      6   1.713902
     0      0      1      7   1.812274
     0      0      2      0   1.798005
     0      0      2      1   1.700975
     0      0      2      2   1.586294
     0      0      2      3   1.527874
     0      0      2      4   1.527246
     0      0      2      5   1.584414
     0      0      2      6   1.699217
     0      0      2      7   1.799896
     0      0      3      0   1.806214
     0      0      3      1   1.703853
     0      0      3      2   1.594258
     0      0      3      3   1.534826
     0      0      3      4   1.533855
     0      0      3      5   1.592111
     0      0      3      6   1.701461
     0      0      3      7   1.804671
     0      0      4      0   1.814791
     0      0      4      1   1.713836
     0      0      4      2   1.603660
     0      0      4      3   1.538503
     0      0      4      4   1.537979
     0      0      4      5   1.602100
     0      0      4      6   1.711723
     0      0      4      7   1.813172
     0      0      5      0   1.820075
     0      0      5      1   1.720983
     0      0      5      2   1.603759
     0      0      5      3   1.539812
     0      0      5      4   1.539741
     0      0      5      5   1.603060
     0      0      5      6   1.719569
     0      0      5      7   1.818962
     0      0      6      0   1.824177
     0      0      6      1   1.721185
     0      0      6      2   1.605671
     0      0      6      3   1.537735
     0      0      6      4   1.537386
     0      0      6      5   1.605095
     0      0      6      6   1.720117
     0      0      6      7   1.823426
     0      0      7      0   1.824028
     0      0      7      1   1.721768
     0      0      7      2   1.604006
     0      0      7      3   1.538120
     0      0      7      4   1.537848
     0      0      7      5   1.603278
     0      0      7      6   1.720662
     0      0      7      7   1.823296
     0      0      8      0   1.823950
     0      0      8      1   1.721736
     0      0      8      2   1.604042
     0      0      8      3   1.538149
     0      0      8      4   1.537859
     0      0      8      5   1.603305
     0      0      8      6   1.720750
     0      0      8      7   1.823447
     0      0      9      0   1.824341
     0      0      9      1   1.721351
     0      0      9      2   1.605771
     0      0      9      3   1.537817
     0      0      9      4   1.537485
     0      0      9      5   1.605217
     0      0      9      6   1.720202
     0      0      9      7   1.823501
     0      0     10      0   1.820082
     0      0     10      1   1.721106
     0      0     10      2   1.604008
     0      0     10      3   1.540055
     0      0     10      4   1.540016
     0      0     10      5   1.603383
     0      0     10      6   1.720122
     0      0     10      7   1.819503
     0      0     11      0   1.815064
     0      0     11      1   1.714170
     0      0     11      2   1.604119
     0      0     11      3   1.539101
     0      0     11      4   1.538602
     0      0     11      5   1.603190
     0      0     11      6   1.712816
     0      0     11      7   1.813845
     0      0     12      0   1.806317
     0      0     12      1   1.704298
     0      0     12      2   1.595241
     0      0     12      3   1.535933
     0      0     12      4   1.535673
     0      0     12      5   1.594272
     0      0     12      6   1.703401
     0      0     12      7   1.806049
     0      0     13      0   1.800430
     0      0     13      1   1.702503
     0      0     13      2   1.587557
     0      0     13      3   1.530253
     0      0     13      4   1.530356
     0      0     13      5   1.587459
     0      0     13      6   1.701686
     0      0     13      7   1.801202
     0      0     14      0   1.814828
     0      0     14      1   1.717879
     0      0     14      2   1.608955
     0      0     14      3   1.539597
     0      0     14      4   1.539399
     0      0     14      5   1.608651
     0      0     14      6   1.716623
     0      0     14      7   1.813762
     0      0     15      0   1.828038
     0      0     15      1   1.758170
     0      0     15      2   1.664226
     0      0     15      3   1.617305
     0      0     15      4   1.617091
     0      0     15      5   1.665647
     0      0     15      6   1.759687
     0      0     15      7   1.829884
     0      1      0      0   1.692202
     0      1      0      1   1.993333
     0      1      0      2   1.533276
     0      1      0      3   1.544728
     0      1      0      4   1.547894
     0      1      0      5   1.595971
     0      1      0      6   1.688420
     0      1      0      7   1.757817
     0      1      1      0   1.741277
     0      1      1      1   1.608749
     0      1      1      2   1.541699
     0      1      1      3   1.473195
     0      1      1      4   1.472663
     0      1      1      5   1.540220
     0      1      1      6   1.646052
     0      1      1      7   1.741817
     0      1      2      0   1.729682
     0      1      2      1   1.635273
     0      1      2      2   1.524590
     0      1      2      3   1.468928
     0      1      2      4   1.466717
     0      1      2      5   1.521045
     0      1      2      6   1.632105
     0      1      2      7   1.729897
     0      1      3      0   1.736852
     0      1      3      1   1.638575
     0      1      3      2   1.533086
     0      1      3      3   1.475945
     0      1      3      4   1.475229
     0      1      3      5   1.530146
     0      1      3      6   1.635052
     0      1      3      7   1.734778
     0      1      4      0   1.745317
     0      1      4      1   1.648144
     0      1      4      2   1.542249
     0      1      4      3   1.479652
     0      1      4      4   1.479231
     0      1      4      5   1.541012
     0      1      4      6   1.645827
     0      1      4      7   1.743368
     0      1      5      0   1.750466
     0      1      5      1   1.655140
     0      1      5      2   1.542386
     0      1      5      3   1.480970
     0      1      5      4   1.480962
     0      1      5      5   1.541890
     0      1      5      6   1.653946
     0      1      5      7   1.749286
     0      1      6      0   1.754474
     0      1      6      1   1.655398
     0      1      6      2   1.544305
     0      1      6      3   1.478982
     0      1      6      4   1.478682
     0      1      6      5   1.543830
     0      1      6      6   1.654452
     0      1      6      7   1.753786
     0      1      7      0   1.754346
     0      1      7      1   1.655992
     0      1      7      2   1.542734
     0      1      7      3   1.479371
     0      1      7      4   1.479111
     0      1      7      5   1.542059
     0      1      7      6   1.654959
     0      1      7      7   1.753666
     0      1      8      0   1.754287
     0      1      8      1   1.655977
     0      1      8      2   1.542781
     0      1      8      3   1.479405
     0      1      8      4   1.479126
     0      1      8      5   1.542071
     0      1      8      6   1.655038
     0      1      8      7   1.753815
     0      1      9      0   1.754667
     0      1      9      1   1.655612
     0      1      9      2   1.544447
     0      1      9      3   1.479088
     0      1      9      4   1.478767
     0      1      9      5   1.543912
     0      1      9      6   1.654506
     0      1      9      7   1.753863
     0      1     10      0   1.750573
     0      1     10      1   1.655378
     0      1     10      2   1.542752
     0      1     10      3   1.481241
     0      1     10      4   1.481203
     0      1     10      5   1.542149
     0      1     10      6   1.654430
     0      1     10      7   1.750016
     0      1     11      0   1.745747
     0      1     11      1   1.648706
     0      1     11      2   1.542859
     0      1     11      3   1.480323
     0      1     11      4   1.479843
     0      1     11      5   1.541964
     0      1     11      6   1.647404
     0      1     11      7   1.744575
     0      1     12      0   1.737334
     0      1     12      1   1.639212
     0      1     12      2   1.534319
     0      1     12      3   1.477276
     0      1     12      4   1.477026
     0      1     12      5   1.533387
     0      1     12      6   1.638348
     0      1     12      7   1.737076
     0      1     13      0   1.731672
     0      1     13      1   1.637485
     0      1     13      2   1.526929
     0      1     13      3   1.471813
     0      1     13      4   1.471912
     0      1     13      5   1.526834
     0      1     13      6   1.636699
     0      1     13      7   1.732415
     0      1     14      0   1.745520
     0      1     14      1   1.652274
     0      1     14      2   1.547509
     0      1     14      3   1.480800
     0      1     14      4   1.480610
     0      1     14      5   1.547217
     0      1     14      6   1.651066
     0      1     14      7   1.744495
     0      1     15      0   1.758226
     0      1     15      1   1.691026
     0      1     15      2   1.600670
     0      1     15      3   1.555541
     0      1     15      4   1.555335
     0      1     15      5   1.602037
     0      1     15      6   1.692485
     0      1     15      7   1.760002
     0      2      0      0   1.658677
     0      2      0      1   1.533276
     0      2      0      2   1.884080
     0      2      0      3   1.390643
     0      2      0      4   1.455326
     0      2      0      5   1.506446
     0      2      0      6   1.595914
     0      2      0      7   1.662801
     0      2      1      0   1.647501
     0      2      1      1   1.557156
     0      2      1      2   1.412081
     0      2      1      3   1.392026
     0      2      1      4   1.388736
     0      2      1      5   1.453156
     0      2      1      6   1.555370
     0      2      1      7   1.647387
     0      2      2      0   1.636313
     0      2      2      1   1.547112
     0      2      2      2   1.440529
     0      2      2      3   1.388618
     0      2      2      4   1.388650
     0      2      2      5   1.437735
     0      2      2      6   1.542397
     0      2      2      7   1.636076
     0      2      3      0   1.642928
     0      2      3      1   1.550153
     0      2      3      2   1.450692
     0      2      3      3   1.396609
     0      2      3      4   1.396270
     0      2      3      5   1.448908
     0      2      3      6   1.546818
     0      2      3      7   1.641025
     0      2      4      0   1.651619
     0      2      4      1   1.559711
     0      2      4      2   1.459578
     0      2      4      3   1.400520
     0      2      4      4   1.400152
     0      2      4      5   1.458748
     0      2      4      6   1.558116
     0      2      4      7   1.649713
     0      2      5      0   1.656761
     0      2      5      1   1.566542
     0      2      5      2   1.459852
     0      2      5      3   1.401762
     0      2      5      4   1.401853
     0      2      5      5   1.459519
     0      2      5      6   1.565649
     0      2      5      7   1.655854
     0      2      6      0   1.660656
     0      2      6      1   1.566879
     0      2      6      2   1.461735
     0      2      6      3   1.399913
     0      2      6      4   1.399631
     0      2      6      5   1.461343
     0      2      6      6   1.566047
