     X      Y hole density (D=32k)
     0      0   0.010306
     0      1   0.010847
     0      2   0.016039
     0      3   0.012998
     0      4   0.012737
     0      5   0.015038
     0      6   0.010126
     0      7   0.009795
     1      0   0.010695
     1      1   0.018368
     1      2   0.032378
     1      3   0.046762
     1      4   0.047020
     1      5   0.032592
     1      6   0.018858
     1      7   0.010847
     2      0   0.019587
     2      1   0.029721
     2      2   0.056105
     2      3   0.066500
     2      4   0.066884
     2      5   0.055331
     2      6   0.029124
     2      7   0.018813
     3      0   0.021392
     3      1   0.048074
     3      2   0.093106
     3      3   0.144355
     3      4   0.145037
     3      5   0.093961
     3      6   0.049005
     3      7   0.021535
     4      0   0.027674
     4      1   0.065327
     4      2   0.132977
     4      3   0.170568
     4      4   0.170241
     4      5   0.132788
     4      6   0.065717
     4      7   0.027795
     5      0   0.027007
     5      1   0.063619
     5      2   0.131704
     5      3   0.171711
     5      4   0.171478
     5      5   0.131012
     5      6   0.063405
     5      7   0.027141
     6      0   0.023349
     6      1   0.052499
     6      2   0.100133
     6      3   0.151634
     6      4   0.151327
     6      5   0.099317
     6      6   0.052140
     6      7   0.023047
     7      0   0.021416
     7      1   0.039964
     7      2   0.077258
     7      3   0.108892
     7      4   0.108738
     7      5   0.076844
     7      6   0.039716
     7      7   0.021160
     8      0   0.021362
     8      1   0.039872
     8      2   0.077149
     8      3   0.108775
     8      4   0.108621
     8      5   0.076771
     8      6   0.039732
     8      7   0.021202
     9      0   0.023359
     9      1   0.052461
     9      2   0.100003
     9      3   0.151461
     9      4   0.151162
     9      5   0.099189
     9      6   0.052051
     9      7   0.022991
    10      0   0.026944
    10      1   0.063541
    10      2   0.131662
    10      3   0.171665
    10      4   0.171407
    10      5   0.130948
    10      6   0.063368
    10      7   0.027146
    11      0   0.027659
    11      1   0.065304
    11      2   0.132954
    11      3   0.170588
    11      4   0.170271
    11      5   0.132767
    11      6   0.065669
    11      7   0.027734
    12      0   0.021327
    12      1   0.048030
    12      2   0.093067
    12      3   0.144364
    12      4   0.145005
    12      5   0.093898
    12      6   0.048988
    12      7   0.021516
    13      0   0.019575
    13      1   0.029704
    13      2   0.056067
    13      3   0.066487
    13      4   0.066856
    13      5   0.055271
    13      6   0.029045
    13      7   0.018723
    14      0   0.010635
    14      1   0.018279
    14      2   0.032299
    14      3   0.046724
    14      4   0.047005
    14      5   0.032572
    14      6   0.018833
    14      7   0.010818
    15      0   0.010250
    15      1   0.010802
    15      2   0.015998
    15      3   0.012969
    15      4   0.012710
    15      5   0.015007
    15      6   0.010098
    15      7   0.009759
