     X      Y hole density (D=16k)
     0      0   0.044436
     0      1   0.082563
     0      2   0.134398
     0      3   0.159548
     0      4   0.159484
     0      5   0.131991
     0      6   0.080199
     0      7   0.041956
     1      0   0.050054
     1      1   0.102137
     1      2   0.161732
     1      3   0.200128
     1      4   0.199733
     1      5   0.160319
     1      6   0.101350
     1      7   0.049659
     2      0   0.055473
     2      1   0.107241
     2      2   0.170862
     2      3   0.203237
     2      4   0.202865
     2      5   0.169954
     2      6   0.106830
     2      7   0.054133
     3      0   0.050192
     3      1   0.104095
     3      2   0.165395
     3      3   0.200419
     3      4   0.200496
     3      5   0.165804
     3      6   0.104268
     3      7   0.050266
     4      0   0.045519
     4      1   0.099012
     4      2   0.161127
     4      3   0.199940
     4      4   0.200545
     4      5   0.162069
     4      6   0.099818
     4      7   0.045996
     5      0   0.043193
     5      1   0.096209
     5      2   0.162165
     5      3   0.199689
     5      4   0.199866
     5      5   0.163003
     5      6   0.097291
     5      7   0.043976
     6      0   0.041687
     6      1   0.096639
     6      2   0.161403
     6      3   0.200582
     6      4   0.200877
     6      5   0.162071
     6      6   0.097752
     6      7   0.042342
     7      0   0.041984
     7      1   0.096539
     7      2   0.162102
     7      3   0.200247
     7      4   0.200551
     7      5   0.162842
     7      6   0.097546
     7      7   0.042746
     8      0   0.042047
     8      1   0.096567
     8      2   0.162083
     8      3   0.200241
     8      4   0.200561
     8      5   0.162855
     8      6   0.097513
     8      7   0.042672
     9      0   0.041630
     9      1   0.096618
     9      2   0.161425
     9      3   0.200595
     9      4   0.200871
     9      5   0.162057
     9      6   0.097785
     9      7   0.042414
    10      0   0.043254
    10      1   0.096250
    10      2   0.162158
    10      3   0.199685
    10      4   0.199875
    10      5   0.163018
    10      6   0.097261
    10      7   0.043892
    11      0   0.045438
    11      1   0.098975
    11      2   0.161152
    11      3   0.199955
    11      4   0.200533
    11      5   0.162055
    11      6   0.099839
    11      7   0.046060
    12      0   0.050302
    12      1   0.104153
    12      2   0.165385
    12      3   0.200428
    12      4   0.200506
    12      5   0.165823
    12      6   0.104248
    12      7   0.050176
    13      0   0.055460
    13      1   0.107293
    13      2   0.170948
    13      3   0.203298
    13      4   0.202890
    13      5   0.170010
    13      6   0.106952
    13      7   0.054298
    14      0   0.050217
    14      1   0.102299
    14      2   0.161821
    14      3   0.200200
    14      4   0.199839
    14      5   0.160485
    14      6   0.101508
    14      7   0.049746
    15      0   0.044560
    15      1   0.082717
    15      2   0.134496
    15      3   0.159632
    15      4   0.159628
    15      5   0.132215
    15      6   0.080445
    15      7   0.042144
