     X      Y hole density (D=32k)
     0      0   0.049607
     0      1   0.075567
     0      2   0.103742
     0      3   0.103758
     0      4   0.075670
     0      5   0.049719
     1      0   0.066159
     1      1   0.097469
     1      2   0.124279
     1      3   0.124358
     1      4   0.097682
     1      5   0.066523
     2      0   0.094726
     2      1   0.129363
     2      2   0.157030
     2      3   0.156983
     2      4   0.129172
     2      5   0.094259
     3      0   0.102171
     3      1   0.146683
     3      2   0.172880
     3      3   0.172924
     3      4   0.146840
     3      5   0.102512
     4      0   0.103206
     4      1   0.151196
     4      2   0.178192
     4      3   0.178207
     4      4   0.151274
     4      5   0.103233
     5      0   0.101421
     5      1   0.149327
     5      2   0.179779
     5      3   0.179787
     5      4   0.149309
     5      5   0.101254
     6      0   0.092404
     6      1   0.143801
     6      2   0.175430
     6      3   0.175445
     6      4   0.143856
     6      5   0.092536
     7      0   0.090728
     7      1   0.140028
     7      2   0.174477
     7      3   0.174434
     7      4   0.139986
     7      5   0.090731
     8      0   0.090752
     8      1   0.140080
     8      2   0.174545
     8      3   0.174495
     8      4   0.140011
     8      5   0.090684
     9      0   0.092331
     9      1   0.143836
     9      2   0.175549
     9      3   0.175571
     9      4   0.143926
     9      5   0.092546
    10      0   0.101391
    10      1   0.149347
    10      2   0.179859
    10      3   0.179860
    10      4   0.149294
    10      5   0.101117
    11      0   0.103044
    11      1   0.151099
    11      2   0.178186
    11      3   0.178212
    11      4   0.151223
    11      5   0.103191
    12      0   0.102120
    12      1   0.146591
    12      2   0.172803
    12      3   0.172841
    12      4   0.146713
    12      5   0.102361
    13      0   0.094638
    13      1   0.129249
    13      2   0.156923
    13      3   0.156887
    13      4   0.129092
    13      5   0.094239
    14      0   0.066184
    14      1   0.097464
    14      2   0.124304
    14      3   0.124386
    14      4   0.097675
    14      5   0.066530
    15      0   0.049651
    15      1   0.075669
    15      2   0.103926
    15      3   0.103946
    15      4   0.075772
    15      5   0.049767
