     X      Y hole density (D=32k)
     0      0   0.008964
     0      1   0.010867
     0      2   0.017627
     0      3   0.019268
     0      4   0.019279
     0      5   0.017476
     0      6   0.010643
     0      7   0.008739
     1      0   0.010837
     1      1   0.013597
     1      2   0.024518
     1      3   0.026976
     1      4   0.027005
     1      5   0.024763
     1      6   0.013893
     1      7   0.011028
     2      0   0.019404
     2      1   0.026326
     2      2   0.064487
     2      3   0.069791
     2      4   0.069373
     2      5   0.063834
     2      6   0.025706
     2      7   0.018722
     3      0   0.021433
     3      1   0.028737
     3      2   0.070268
     3      3   0.067921
     3      4   0.067761
     3      5   0.070442
     3      6   0.028805
     3      7   0.021284
     4      0   0.021469
     4      1   0.028773
     4      2   0.070284
     4      3   0.067922
     4      4   0.067715
     4      5   0.070393
     4      6   0.028773
     4      7   0.021265
     5      0   0.019432
     5      1   0.026343
     5      2   0.064503
     5      3   0.069814
     5      4   0.069340
     5      5   0.063829
     5      6   0.025713
     5      7   0.018744
     6      0   0.010906
     6      1   0.013656
     6      2   0.024566
     6      3   0.027009
     6      4   0.026983
     6      5   0.024751
     6      6   0.013874
     6      7   0.011023
     7      0   0.009023
     7      1   0.010920
     7      2   0.017686
     7      3   0.019317
     7      4   0.019294
     7      5   0.017500
     7      6   0.010651
     7      7   0.008757
