     X      Y hole density (D=16k)
     0      0   0.008516
     0      1   0.009872
     0      2   0.015756
     0      3   0.016776
     0      4   0.016556
     0      5   0.014879
     0      6   0.008881
     0      7   0.007542
     1      0   0.010033
     1      1   0.012828
     1      2   0.023217
     1      3   0.025393
     1      4   0.025058
     1      5   0.023006
     1      6   0.012761
     1      7   0.009766
     2      0   0.019412
     2      1   0.026510
     2      2   0.068079
     2      3   0.072992
     2      4   0.071550
     2      5   0.066100
     2      6   0.024866
     2      7   0.017608
     3      0   0.021545
     3      1   0.028912
     3      2   0.074305
     3      3   0.069233
     3      4   0.068302
     3      5   0.074104
     3      6   0.028625
     3      7   0.020659
     4      0   0.021626
     4      1   0.029097
     4      2   0.074942
     4      3   0.069838
     4      4   0.068985
     4      5   0.074790
     4      6   0.028836
     4      7   0.020754
     5      0   0.019523
     5      1   0.026740
     5      2   0.068857
     5      3   0.073761
     5      4   0.072411
     5      5   0.066959
     5      6   0.025210
     5      7   0.017820
     6      0   0.010225
     6      1   0.013051
     6      2   0.023660
     6      3   0.025844
     6      4   0.025542
     6      5   0.023450
     6      6   0.012979
     6      7   0.009942
     7      0   0.008686
     7      1   0.010096
     7      2   0.016180
     7      3   0.017268
     7      4   0.017073
     7      5   0.015341
     7      6   0.009142
     7      7   0.007729
