    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=32k)
     0      0      0      0   2.116874
     0      0      0      1   1.897203
     0      0      0      2   1.944981
     0      0      0      3   1.943660
     0      0      0      4   1.943689
     0      0      0      5   1.947338
     0      0      0      6   1.960897
     0      0      0      7   1.964712
     0      0      1      0   1.897461
     0      0      1      1   1.951501
     0      0      1      2   1.932356
     0      0      1      3   1.928432
     0      0      1      4   1.928275
     0      0      1      5   1.932857
     0      0      1      6   1.954433
     0      0      1      7   1.960140
     0      0      2      0   1.941438
     0      0      2      1   1.928759
     0      0      2      2   1.853571
     0      0      2      3   1.843265
     0      0      2      4   1.843842
     0      0      2      5   1.855212
     0      0      2      6   1.930937
     0      0      2      7   1.944848
     0      0      3      0   1.939376
     0      0      3      1   1.924941
     0      0      3      2   1.842325
     0      0      3      3   1.847163
     0      0      3      4   1.847120
     0      0      3      5   1.841892
     0      0      3      6   1.924694
     0      0      3      7   1.939685
     0      0      4      0   1.939331
     0      0      4      1   1.924755
     0      0      4      2   1.842019
     0      0      4      3   1.846759
     0      0      4      4   1.847070
     0      0      4      5   1.841864
     0      0      4      6   1.924737
     0      0      4      7   1.939729
     0      0      5      0   1.943440
     0      0      5      1   1.929702
     0      0      5      2   1.853844
     0      0      5      3   1.843152
     0      0      5      4   1.844038
     0      0      5      5   1.854887
     0      0      5      6   1.930810
     0      0      5      7   1.944710
     0      0      6      0   1.960372
     0      0      6      1   1.954906
     0      0      6      2   1.933201
     0      0      6      3   1.928288
     0      0      6      4   1.928331
     0      0      6      5   1.932731
     0      0      6      6   1.954412
     0      0      6      7   1.960097
     0      0      7      0   1.964142
     0      0      7      1   1.960356
     0      0      7      2   1.946905
     0      0      7      3   1.943618
     0      0      7      4   1.943666
     0      0      7      5   1.947205
     0      0      7      6   1.960853
     0      0      7      7   1.964617
     0      1      0      0   1.897203
     0      1      0      1   2.152055
     0      1      0      2   1.888903
     0      1      0      3   1.938110
     0      1      0      4   1.939767
     0      1      0      5   1.943522
     0      1      0      6   1.957088
     0      1      0      7   1.960900
     0      1      1      0   1.952716
     0      1      1      1   1.906567
     0      1      1      2   1.926149
     0      1      1      3   1.923967
     0      1      1      4   1.924430
     0      1      1      5   1.929051
     0      1      1      6   1.950630
     0      1      1      7   1.956336
     0      1      2      0   1.938917
     0      1      2      1   1.924710
     0      1      2      2   1.849504
     0      1      2      3   1.839414
     0      1      2      4   1.840035
     0      1      2      5   1.851361
     0      1      2      6   1.927130
     0      1      2      7   1.941039
     0      1      3      0   1.935742
     0      1      3      1   1.921359
     0      1      3      2   1.838846
     0      1      3      3   1.843591
     0      1      3      4   1.843572
     0      1      3      5   1.838156
     0      1      3      6   1.920926
     0      1      3      7   1.935888
     0      1      4      0   1.935570
     0      1      4      1   1.921028
     0      1      4      2   1.838394
     0      1      4      3   1.843088
     0      1      4      4   1.843405
     0      1      4      5   1.838065
     0      1      4      6   1.920944
     0      1      4      7   1.935919
     0      1      5      0   1.939663
     0      1      5      1   1.925956
     0      1      5      2   1.850178
     0      1      5      3   1.839594
     0      1      5      4   1.840465
     0      1      5      5   1.851244
     0      1      5      6   1.927070
     0      1      5      7   1.940928
     0      1      6      0   1.956579
     0      1      6      1   1.951123
     0      1      6      2   1.929437
     0      1      6      3   1.924557
