    X1     Y1     X2     Y2 <S(X1,Y1).S(X2,Y2)> (D=32k)
     0      0      0      0   0.692726
     0      0      0      1  -0.388347
     0      0      0      2   0.146479
     0      0      0      3  -0.108595
     0      0      0      4   0.065580
     0      0      0      5  -0.046369
     0      0      0      6   0.030025
     0      0      0      7  -0.025965
     0      0      1      0  -0.388989
     0      0      1      1   0.177613
     0      0      1      2  -0.153844
     0      0      1      3   0.096503
     0      0      1      4  -0.068086
     0      0      1      5   0.043549
     0      0      1      6  -0.031739
     0      0      1      7   0.023425
     0      0      2      0   0.145465
     0      0      2      1  -0.151842
     0      0      2      2   0.086428
     0      0      2      3  -0.075702
     0      0      2      4   0.042021
     0      0      2      5  -0.029255
     0      0      2      6   0.024014
     0      0      2      7  -0.019665
     0      0      3      0  -0.104221
     0      0      3      1   0.090140
     0      0      3      2  -0.072547
     0      0      3      3   0.051912
     0      0      3      4  -0.037697
     0      0      3      5   0.016094
     0      0      3      6  -0.018101
     0      0      3      7   0.012667
     0      0      4      0   0.054696
     0      0      4      1  -0.056397
     0      0      4      2   0.034984
     0      0      4      3  -0.032805
     0      0      4      4   0.018502
     0      0      4      5  -0.009019
     0      0      4      6   0.008988
     0      0      4      7  -0.007719
     0      0      5      0  -0.033911
     0      0      5      1   0.030996
     0      0      5      2  -0.019955
     0      0      5      3   0.011390
     0      0      5      4  -0.007305
     0      0      5      5  -0.004366
     0      0      5      6  -0.002835
     0      0      5      7  -0.001260
     0      0      6      0   0.018454
     0      0      6      1  -0.019337
     0      0      6      2   0.014731
     0      0      6      3  -0.011238
     0      0      6      4   0.006013
     0      0      6      5  -0.002119
     0      0      6      6  -0.000676
     0      0      6      7   0.000518
     0      0      7      0  -0.014648
     0      0      7      1   0.013272
     0      0      7      2  -0.010954
     0      0      7      3   0.007288
     0      0      7      4  -0.004384
     0      0      7      5  -0.001034
     0      0      7      6   0.000613
     0      0      7      7  -0.004158
     0      1      0      0  -0.388347
     0      1      0      1   0.676679
     0      1      0      2  -0.297855
     0      1      0      3   0.122311
     0      1      0      4  -0.079463
     0      1      0      5   0.052153
     0      1      0      6  -0.035586
     0      1      0      7   0.030204
     0      1      1      0   0.174592
     0      1      1      1  -0.284952
     0      1      1      2   0.151343
     0      1      1      3  -0.120852
     0      1      1      4   0.075212
     0      1      1      5  -0.051331
     0      1      1      6   0.036951
     0      1      1      7  -0.028642
     0      1      2      0  -0.142841
     0      1      2      1   0.126968
     0      1      2      2  -0.097238
     0      1      2      3   0.073455
     0      1      2      4  -0.051362
     0      1      2      5   0.033327
     0      1      2      6  -0.030243
     0      1      2      7   0.024282
     0      1      3      0   0.086835
     0      1      3      1  -0.089139
     0      1      3      2   0.065380
     0      1      3      3  -0.056602
     0      1      3      4   0.040250
     0      1      3      5  -0.023328
     0      1      3      6   0.023310
     0      1      3      7  -0.018944
     0      1      4      0  -0.051501
     0      1      4      1   0.051411
     0      1      4      2  -0.035343
     0      1      4      3   0.032177
     0      1      4      4  -0.022660
     0      1      4      5   0.011810
     0      1      4      6  -0.014250
     0      1      4      7   0.011711
     0      1      5      0   0.030304
     0      1      5      1  -0.029284
     0      1      5      2   0.017953
     0      1      5      3  -0.013205
     0      1      5      4   0.008968
     0      1      5      5  -0.000811
     0      1      5      6   0.006589
     0      1      5      7  -0.003708
     0      1      6      0  -0.017282
     0      1      6      1   0.017998
     0      1      6      2  -0.014568
     0      1      6      3   0.011929
     0      1      6      4  -0.008207
     0      1      6      5   0.004794
     0      1      6      6  -0.003043
     0      1      6      7   0.002503
     0      1      7      0   0.013254
     0      1      7      1  -0.012687
     0      1      7      2   0.010573
     0      1      7      3  -0.008391
     0      1      7      4   0.005894
     0      1      7      5  -0.001970
     0      1      7      6   0.002011
     0      1      7      7   0.000502
     0      2      0      0   0.146479
     0      2      0      1  -0.297855
     0      2      0      2   0.672107
     0      2      0      3  -0.311133
     0      2      0      4   0.117467
     0      2      0      5  -0.081347
     0      2      0      6   0.052268
     0      2      0      7  -0.046670
     0      2      1      0  -0.145293
     0      2      1      1   0.156070
     0      2      1      2  -0.299001
     0      2      1      3   0.150847
     0      2      1      4  -0.118488
     0      2      1      5   0.073136
     0      2      1      6  -0.055657
     0      2      1      7   0.042483
     0      2      2      0   0.103183
     0      2      2      1  -0.121658
     0      2      2      2   0.101800
     0      2      2      3  -0.099810
     0      2      2      4   0.064724
     0      2      2      5  -0.052400
     0      2      2      6   0.044016
     0      2      2      7  -0.038407
     0      2      3      0  -0.082289
     0      2      3      1   0.078600
     0      2      3      2  -0.069206
     0      2      3      3   0.060955
     0      2      3      4  -0.052265
     0      2      3      5   0.030928
     0      2      3      6  -0.034172
     0      2      3      7   0.027824
     0      2      4      0   0.045718
     0      2      4      1  -0.048531
     0      2      4      2   0.032722
     0      2      4      3  -0.033968
     0      2      4      4   0.025047
     0      2      4      5  -0.016482
     0      2      4      6   0.019257
     0      2      4      7  -0.017884
     0      2      5      0  -0.027464
     0      2      5      1   0.026127
     0      2      5      2  -0.015414
     0      2      5      3   0.011266
     0      2      5      4  -0.009190
     0      2      5      5   0.000351
     0      2      5      6  -0.008934
     0      2      5      7   0.005452
     0      2      6      0   0.014860
     0      2      6      1  -0.015673
     0      2      6      2   0.012402
     0      2      6      3  -0.010501
     0      2      6      4   0.007337
     0      2      6      5  -0.004709
     0      2      6      6   0.003318
     0      2      6      7  -0.003326
     0      2      7      0  -0.010925
     0      2      7      1   0.010565
     0      2      7      2  -0.008520
     0      2      7      3   0.006619
     0      2      7      4  -0.004927
     0      2      7      5   0.001027
     0      2      7      6  -0.001985
     0      2      7      7  -0.000869
     0      3      0      0  -0.108595
     0      3      0      1   0.122311
     0      3      0      2  -0.311133
     0      3      0      3   0.671029
     0      3      0      4  -0.293585
     0      3      0      5   0.117661
     0      3      0      6  -0.079809
     0      3      0      7   0.066118
     0      3      1      0   0.092692
     0      3      1      1  -0.127493
     0      3      1      2   0.150846
     0      3      1      3  -0.300783
     0      3      1      4   0.147704
     0      3      1      5  -0.115155
     0      3      1      6   0.078511
     0      3      1      7  -0.063961
     0      3      2      0  -0.085785
     0      3      2      1   0.090093
     0      3      2      2  -0.102247
     0      3      2      3   0.098418
     0      3      2      4  -0.093916
     0      3      2      5   0.067252
     0      3      2      6  -0.066211
     0      3      2      7   0.054904
     0      3      3      0   0.061189
     0      3      3      1  -0.068411
     0      3      3      2   0.058253
     0      3      3      3  -0.067376
     0      3      3      4   0.059552
     0      3      3      5  -0.048707
     0      3      3      6   0.048943
     0      3      3      7  -0.045448
     0      3      4      0  -0.038679
     0      3      4      1   0.039938
     0      3      4      2  -0.030378
     0      3      4      3   0.033816
     0      3      4      4  -0.032124
     0      3      4      5   0.022719
     0      3      4      6  -0.030988
     0      3      4      7   0.027487
     0      3      5      0   0.020192
     0      3      5      1  -0.021674
     0      3      5      2   0.010787
     0      3      5      3  -0.012421
     0      3      5      4   0.011263
     0      3      5      5  -0.007830
     0      3      5      6   0.015945
     0      3      5      7  -0.014421
