     X      Y hole density (D=16k)
     0      0   0.008681
     0      1   0.008491
     0      2   0.012136
     0      3   0.009691
     0      4   0.009307
     0      5   0.010635
     0      6   0.007244
     0      7   0.007585
     1      0   0.009380
     1      1   0.016457
     1      2   0.026910
     1      3   0.036807
     1      4   0.036875
     1      5   0.026594
     1      6   0.016668
     1      7   0.009240
     2      0   0.018898
     2      1   0.028670
     2      2   0.055203
     2      3   0.062233
     2      4   0.062570
     2      5   0.053448
     2      6   0.027691
     2      7   0.017818
     3      0   0.020760
     3      1   0.049888
     3      2   0.097118
     3      3   0.155930
     3      4   0.156855
     3      5   0.097959
     3      6   0.050921
     3      7   0.020661
     4      0   0.026972
     4      1   0.066917
     4      2   0.140812
     4      3   0.180338
     4      4   0.179682
     4      5   0.139940
     4      6   0.067199
     4      7   0.027297
     5      0   0.025751
     5      1   0.064104
     5      2   0.137844
     5      3   0.180175
     5      4   0.179738
     5      5   0.136529
     5      6   0.063533
     5      7   0.026094
     6      0   0.021369
     6      1   0.051321
     6      2   0.100419
     6      3   0.160248
     6      4   0.159726
     6      5   0.099116
     6      6   0.050591
     6      7   0.020944
     7      0   0.019077
     7      1   0.036544
     7      2   0.073108
     7      3   0.106077
     7      4   0.105899
     7      5   0.072637
     7      6   0.036318
     7      7   0.018915
     8      0   0.019016
     8      1   0.036374
     8      2   0.072767
     8      3   0.105709
     8      4   0.105513
     8      5   0.072316
     8      6   0.036265
     8      7   0.018958
     9      0   0.021391
     9      1   0.051171
     9      2   0.099983
     9      3   0.159681
     9      4   0.159187
     9      5   0.098724
     9      6   0.050391
     9      7   0.020876
    10      0   0.025709
    10      1   0.063949
    10      2   0.137685
    10      3   0.180015
    10      4   0.179550
    10      5   0.136343
    10      6   0.063409
    10      7   0.026115
    11      0   0.026938
    11      1   0.066860
    11      2   0.140730
    11      3   0.180382
    11      4   0.179749
    11      5   0.139892
    11      6   0.067093
    11      7   0.027189
    12      0   0.020641
    12      1   0.049840
    12      2   0.097113
    12      3   0.156089
    12      4   0.156921
    12      5   0.097880
    12      6   0.050845
    12      7   0.020589
    13      0   0.018843
    13      1   0.028606
    13      2   0.055075
    13      3   0.062114
    13      4   0.062431
    13      5   0.053323
    13      6   0.027540
    13      7   0.017663
    14      0   0.009266
    14      1   0.016282
    14      2   0.026636
    14      3   0.036440
    14      4   0.036537
    14      5   0.026409
    14      6   0.016592
    14      7   0.009181
    15      0   0.008550
    15      1   0.008356
    15      2   0.011948
    15      3   0.009563
    15      4   0.009178
    15      5   0.010457
    15      6   0.007129
    15      7   0.007479
