     X      Y hole density (D=32k)
     0      0   0.045856
     0      1   0.081084
     0      2   0.128968
     0      3   0.153042
     0      4   0.153470
     0      5   0.128365
     0      6   0.080495
     0      7   0.045149
     1      0   0.053435
     1      1   0.102072
     1      2   0.157339
     1      3   0.194089
     1      4   0.194347
     1      5   0.157555
     1      6   0.103001
     1      7   0.054459
     2      0   0.064084
     2      1   0.110955
     2      2   0.169866
     2      3   0.197919
     2      4   0.197775
     2      5   0.169826
     2      6   0.111496
     2      7   0.063743
     3      0   0.063986
     3      1   0.114491
     3      2   0.165634
     3      3   0.195420
     3      4   0.195721
     3      5   0.166168
     3      6   0.114887
     3      7   0.064529
     4      0   0.064116
     4      1   0.114572
     4      2   0.165660
     4      3   0.195422
     4      4   0.195713
     4      5   0.166164
     4      6   0.114842
     4      7   0.064433
     5      0   0.064092
     5      1   0.111029
     5      2   0.169944
     5      3   0.197955
     5      4   0.197768
     5      5   0.169817
     5      6   0.111526
     5      7   0.063833
     6      0   0.053573
     6      1   0.102230
     6      2   0.157442
     6      3   0.194138
     6      4   0.194363
     6      5   0.157562
     6      6   0.102995
     6      7   0.054455
     7      0   0.045962
     7      1   0.081215
     7      2   0.129079
     7      3   0.153128
     7      4   0.153546
     7      5   0.128444
     7      6   0.080553
     7      7   0.045207
