    X1     Y1     X2     Y2 <S(X1,Y1).S(X2,Y2)> (D=32k)
     0      0      0      0   0.669757
     0      0      0      1  -0.344062
     0      0      0      2   0.084352
     0      0      0      3  -0.032020
     0      0      0      4  -0.005967
     0      0      0      5   0.027698
     0      0      0      6  -0.039645
     0      0      0      7   0.047682
     0      0      1      0  -0.346053
     0      0      1      1   0.121856
     0      0      1      2  -0.093980
     0      0      1      3   0.019149
     0      0      1      4   0.007585
     0      0      1      5  -0.031208
     0      0      1      6   0.047344
     0      0      1      7  -0.049827
     0      0      2      0   0.121029
     0      0      2      1  -0.111707
     0      0      2      2   0.041535
     0      0      2      3  -0.025841
     0      0      2      4  -0.014987
     0      0      2      5   0.032875
     0      0      2      6  -0.050463
     0      0      2      7   0.056630
     0      0      3      0  -0.085313
     0      0      3      1   0.062485
     0      0      3      2  -0.044839
     0      0      3      3   0.003874
     0      0      3      4   0.009539
     0      0      3      5  -0.038783
     0      0      3      6   0.051983
     0      0      3      7  -0.061576
     0      0      4      0   0.061962
     0      0      4      1  -0.052219
     0      0      4      2   0.028370
     0      0      4      3  -0.011213
     0      0      4      4  -0.017591
     0      0      4      5   0.031285
     0      0      4      6  -0.052975
     0      0      4      7   0.059192
     0      0      5      0  -0.051563
     0      0      5      1   0.041277
     0      0      5      2  -0.027141
     0      0      5      3   0.006135
     0      0      5      4   0.009532
     0      0      5      5  -0.032193
     0      0      5      6   0.044205
     0      0      5      7  -0.055065
     0      0      6      0   0.040460
     0      0      6      1  -0.038815
     0      0      6      2   0.024077
     0      0      6      3  -0.007998
     0      0      6      4  -0.010318
     0      0      6      5   0.026406
     0      0      6      6  -0.043241
     0      0      6      7   0.045498
     0      0      7      0  -0.039044
     0      0      7      1   0.031732
     0      0      7      2  -0.022927
     0      0      7      3   0.007844
     0      0      7      4   0.009790
     0      0      7      5  -0.025893
     0      0      7      6   0.035243
     0      0      7      7  -0.043913
     0      1      0      0  -0.344062
     0      1      0      1   0.631340
     0      1      0      2  -0.239012
     0      1      0      3   0.049032
     0      1      0      4  -0.003945
     0      1      0      5  -0.018998
     0      1      0      6   0.031890
     0      1      0      7  -0.039325
     0      1      1      0   0.128495
     0      1      1      1  -0.197987
     0      1      1      2   0.069095
     0      1      1      3  -0.042394
     0      1      1      4  -0.001980
     0      1      1      5   0.023033
     0      1      1      6  -0.038938
     0      1      1      7   0.041394
     0      1      2      0  -0.110297
     0      1      2      1   0.075655
     0      1      2      2  -0.045935
     0      1      2      3   0.012889
     0      1      2      4   0.004893
     0      1      2      5  -0.029656
     0      1      2      6   0.041265
     0      1      2      7  -0.048768
     0      1      3      0   0.063212
     0      1      3      1  -0.053761
     0      1      3      2   0.030847
     0      1      3      3  -0.007289
     0      1      3      4  -0.013131
     0      1      3      5   0.029507
