     X      Y hole density (D=16k)
     0      0   0.045872
     0      1   0.083102
     0      2   0.133959
     0      3   0.158810
     0      4   0.159145
     0      5   0.131748
     0      6   0.081129
     0      7   0.043834
     1      0   0.051725
     1      1   0.102505
     1      2   0.160906
     1      3   0.199608
     1      4   0.199308
     1      5   0.159538
     1      6   0.102200
     1      7   0.051914
     2      0   0.059163
     2      1   0.107712
     2      2   0.171023
     2      3   0.201707
     2      4   0.201269
     2      5   0.170162
     2      6   0.107589
     2      7   0.058224
     3      0   0.056351
     3      1   0.107991
     3      2   0.164298
     3      3   0.199181
     3      4   0.199611
     3      5   0.164810
     3      6   0.107761
     3      7   0.056413
     4      0   0.056479
     4      1   0.108050
     4      2   0.164276
     4      3   0.199181
     4      4   0.199630
     4      5   0.164836
     4      6   0.107753
     4      7   0.056332
     5      0   0.059151
     5      1   0.107743
     5      2   0.171087
     5      3   0.201762
     5      4   0.201303
     5      5   0.170227
     5      6   0.107721
     5      7   0.058417
     6      0   0.051879
     6      1   0.102640
     6      2   0.160978
     6      3   0.199669
     6      4   0.199413
     6      5   0.159710
     6      6   0.102355
     6      7   0.052006
     7      0   0.045987
     7      1   0.083245
     7      2   0.134046
     7      3   0.158884
     7      4   0.159284
     7      5   0.131974
     7      6   0.081382
     7      7   0.044033
