     X      Y hole density (D=32k)
     0      0   0.014271
     0      1   0.018521
     0      2   0.026111
     0      3   0.026120
     0      4   0.018538
     0      5   0.014288
     1      0   0.021375
     1      1   0.027499
     1      2   0.040346
     1      3   0.040368
     1      4   0.027523
     1      5   0.021427
     2      0   0.039374
     2      1   0.053324
     2      2   0.087497
     2      3   0.087471
     2      4   0.053262
     2      5   0.039286
     3      0   0.049578
     3      1   0.066060
     3      2   0.101893
     3      3   0.101940
     3      4   0.066149
     3      5   0.049744
     4      0   0.057777
     4      1   0.075147
     4      2   0.104485
     4      3   0.104442
     4      4   0.075030
     4      5   0.057613
     5      0   0.059054
     5      1   0.081078
     5      2   0.109101
     5      3   0.109110
     5      4   0.081101
     5      5   0.059143
     6      0   0.056025
     6      1   0.078930
     6      2   0.105383
     6      3   0.105381
     6      4   0.078905
     6      5   0.055998
     7      0   0.054413
     7      1   0.073985
     7      2   0.099785
     7      3   0.099790
     7      4   0.073971
     7      5   0.054426
     8      0   0.054401
     8      1   0.073936
     8      2   0.099678
     8      3   0.099671
     8      4   0.073886
     8      5   0.054352
     9      0   0.055908
     9      1   0.078784
     9      2   0.105229
     9      3   0.105235
     9      4   0.078790
     9      5   0.055934
    10      0   0.058951
    10      1   0.080957
    10      2   0.109074
    10      3   0.109075
    10      4   0.080953
    10      5   0.058992
    11      0   0.057638
    11      1   0.074975
    11      2   0.104419
    11      3   0.104386
    11      4   0.074883
    11      5   0.057513
    12      0   0.049487
    12      1   0.065903
    12      2   0.101753
    12      3   0.101794
    12      4   0.065974
    12      5   0.049624
    13      0   0.039311
    13      1   0.053238
    13      2   0.087448
    13      3   0.087426
    13      4   0.053187
    13      5   0.039239
    14      0   0.021355
    14      1   0.027460
    14      2   0.040288
    14      3   0.040310
    14      4   0.027483
    14      5   0.021404
    15      0   0.014261
    15      1   0.018491
    15      2   0.026056
    15      3   0.026066
    15      4   0.018509
    15      5   0.014278
