     X      Y hole density (D=16k)
     0      0   0.014702
     0      1   0.018899
     0      2   0.026963
     0      3   0.026990
     0      4   0.018962
     0      5   0.014762
     1      0   0.020954
     1      1   0.026932
     1      2   0.040799
     1      3   0.040879
     1      4   0.027052
     1      5   0.021129
     2      0   0.039152
     2      1   0.054340
     2      2   0.094215
     2      3   0.094169
     2      4   0.054228
     2      5   0.039012
     3      0   0.047118
     3      1   0.063619
     3      2   0.104153
     3      3   0.104260
     3      4   0.063812
     3      5   0.047451
     4      0   0.054924
     4      1   0.071877
     4      2   0.103684
     4      3   0.103640
     4      4   0.071704
     4      5   0.054673
     5      0   0.055311
     5      1   0.079655
     5      2   0.111230
     5      3   0.111252
     5      4   0.079689
     5      5   0.055418
     6      0   0.052278
     6      1   0.078262
     6      2   0.109752
     6      3   0.109787
     6      4   0.078300
     6      5   0.052314
     7      0   0.050870
     7      1   0.070880
     7      2   0.100339
     7      3   0.100354
     7      4   0.070846
     7      5   0.050856
     8      0   0.051276
     8      1   0.071568
     8      2   0.101487
     8      3   0.101484
     8      4   0.071478
     8      5   0.051172
     9      0   0.052943
     9      1   0.079294
     9      2   0.111146
     9      3   0.111192
     9      4   0.079373
     9      5   0.053056
    10      0   0.056254
    10      1   0.080693
    10      2   0.111582
    10      3   0.111596
    10      4   0.080685
    10      5   0.056289
    11      0   0.055760
    11      1   0.073014
    11      2   0.104136
    11      3   0.104106
    11      4   0.072884
    11      5   0.055573
    12      0   0.047902
    12      1   0.064857
    12      2   0.105190
    12      3   0.105292
    12      4   0.065027
    12      5   0.048204
    13      0   0.039731
    13      1   0.055170
    13      2   0.094947
    13      3   0.094910
    13      4   0.055074
    13      5   0.039614
    14      0   0.021262
    14      1   0.027365
    14      2   0.041340
    14      3   0.041419
    14      4   0.027479
    14      5   0.021433
    15      0   0.014897
    15      1   0.019221
    15      2   0.027459
    15      3   0.027486
    15      4   0.019280
    15      5   0.014955
