    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=32k)
     0      0      0      0   2.026080
     0      0      0      1   1.731057
     0      0      0      2   1.791044
     0      0      0      3   1.814109
     0      0      1      0   1.687681
     0      0      1      1   1.714800
     0      0      1      2   1.716300
     0      0      1      3   1.751697
     0      0      2      0   1.668944
     0      0      2      1   1.621770
     0      0      2      2   1.623289
     0      0      2      3   1.672582
     0      0      3      0   1.626261
     0      0      3      1   1.554651
     0      0      3      2   1.555064
     0      0      3      3   1.626837
     0      0      4      0   1.626248
     0      0      4      1   1.543736
     0      0      4      2   1.543518
     0      0      4      3   1.625611
     0      0      5      0   1.638591
     0      0      5      1   1.567540
     0      0      5      2   1.567620
     0      0      5      3   1.637701
     0      0      6      0   1.683902
     0      0      6      1   1.632981
     0      0      6      2   1.632716
     0      0      6      3   1.683024
     0      0      7      0   1.716692
     0      0      7      1   1.678466
     0      0      7      2   1.678282
     0      0      7      3   1.716153
     0      0      8      0   1.717366
     0      0      8      1   1.679329
     0      0      8      2   1.679269
     0      0      8      3   1.717260
     0      0      9      0   1.685560
     0      0      9      1   1.635103
     0      0      9      2   1.635089
     0      0      9      3   1.685521
     0      0     10      0   1.640392
     0      0     10      1   1.569896
     0      0     10      2   1.569882
     0      0     10      3   1.640401
     0      0     11      0   1.628572
     0      0     11      1   1.546386
     0      0     11      2   1.546384
     0      0     11      3   1.628642
     0      0     12      0   1.628722
     0      0     12      1   1.556976
     0      0     12      2   1.556997
     0      0     12      3   1.628775
     0      0     13      0   1.674008
     0      0     13      1   1.624745
     0      0     13      2   1.624785
     0      0     13      3   1.674091
     0      0     14      0   1.752182
     0      0     14      1   1.717814
     0      0     14      2   1.717830
     0      0     14      3   1.752216
     0      0     15      0   1.814290
     0      0     15      1   1.793365
     0      0     15      2   1.793369
     0      0     15      3   1.814290
     0      1      0      0   1.731057
     0      1      0      1   2.041144
     0      1      0      2   1.717153
     0      1      0      3   1.791045
     0      1      1      0   1.728138
     0      1      1      1   1.652303
     0      1      1      2   1.694321
     0      1      1      3   1.729919
     0      1      2      0   1.650105
     0      1      2      1   1.602622
     0      1      2      2   1.603753
     0      1      2      3   1.651973
     0      1      3      0   1.606417
     0      1      3      1   1.537012
     0      1      3      2   1.536818
     0      1      3      3   1.606554
     0      1      4      0   1.606632
     0      1      4      1   1.525268
     0      1      4      2   1.525045
     0      1      4      3   1.606389
     0      1      5      0   1.619115
     0      1      5      1   1.549091
     0      1      5      2   1.548880
     0      1      5      3   1.619004
     0      1      6      0   1.663986
     0      1      6      1   1.613651
     0      1      6      2   1.613225
     0      1      6      3   1.663747
     0      1      7      0   1.696604
     0      1      7      1   1.658904
     0      1      7      2   1.658716
     0      1      7      3   1.696377
     0      1      8      0   1.697508
     0      1      8      1   1.659984
     0      1      8      2   1.659963
     0      1      8      3   1.697473
     0      1      9      0   1.666164
     0      1      9      1   1.616339
     0      1      9      2   1.616336
     0      1      9      3   1.666144
     0      1     10      0   1.621498
     0      1     10      1   1.551812
     0      1     10      2   1.551815
     0      1     10      3   1.621496
     0      1     11      0   1.609805
     0      1     11      1   1.528518
     0      1     11      2   1.528530
     0      1     11      3   1.609834
     0      1     12      0   1.609934
     0      1     12      1   1.538947
     0      1     12      2   1.538960
     0      1     12      3   1.609921
     0      1     13      0   1.654669
     0      1     13      1   1.605937
     0      1     13      2   1.605966
     0      1     13      3   1.654709
     0      1     14      0   1.731962
     0      1     14      1   1.697972
     0      1     14      2   1.697979
     0      1     14      3   1.731976
     0      1     15      0   1.793376
     0      1     15      1   1.772682
     0      1     15      2   1.772684
     0      1     15      3   1.793382
     0      2      0      0   1.791044
     0      2      0      1   1.717153
     0      2      0      2   2.041145
     0      2      0      3   1.731060
     0      2      1      0   1.729917
     0      2      1      1   1.694320
     0      2      1      2   1.652305
     0      2      1      3   1.728142
     0      2      2      0   1.651965
     0      2      2      1   1.603752
     0      2      2      2   1.602624
     0      2      2      3   1.650115
     0      2      3      0   1.606607
     0      2      3      1   1.536836
     0      2      3      2   1.536996
     0      2      3      3   1.606366
     0      2      4      0   1.606321
     0      2      4      1   1.525027
     0      2      4      2   1.525286
     0      2      4      3   1.606703
     0      2      5      0   1.619063
     0      2      5      1   1.548894
