     X      Y hole density (D=16k)
     0      0   0.047347
     0      1   0.058183
     0      2   0.058183
     0      3   0.047349
     1      0   0.079892
     1      1   0.097604
     1      2   0.097602
     1      3   0.079891
     2      0   0.121343
     2      1   0.146989
     2      2   0.146982
     2      3   0.121319
     3      0   0.145547
     3      1   0.183384
     3      2   0.183402
     3      3   0.145603
     4      0   0.145814
     4      1   0.189320
     4      2   0.189308
     4      3   0.145766
     5      0   0.139450
     5      1   0.176615
     5      2   0.176620
     5      3   0.139479
     6      0   0.114629
     6      1   0.140778
     6      2   0.140775
     6      3   0.114612
     7      0   0.096806
     7      1   0.116044
     7      2   0.116044
     7      3   0.096819
     8      0   0.096816
     8      1   0.116038
     8      2   0.116034
     8      3   0.096799
     9      0   0.114608
     9      1   0.140759
     9      2   0.140761
     9      3   0.114619
    10      0   0.139466
    10      1   0.176607
    10      2   0.176605
    10      3   0.139465
    11      0   0.145819
    11      1   0.189328
    11      2   0.189322
    11      3   0.145797
    12      0   0.145595
    12      1   0.183432
    12      2   0.183447
    12      3   0.145637
    13      0   0.121406
    13      1   0.147071
    13      2   0.147064
    13      3   0.121386
    14      0   0.079967
    14      1   0.097700
    14      2   0.097699
    14      3   0.079967
    15      0   0.047398
    15      1   0.058247
    15      2   0.058248
    15      3   0.047400
